Name,dollar_value,status,ADP,Dollars,ADP2,reg_estimate,sean_value
Matt Barnes,20.43,,500,$12.1,250000,3.432248270872428,16.99775172912757
Byron Buxton,27.406448148984122,,165.5,$23.1,27390.25,12.588843673625327,14.817604475358795
Myles Straw,17.835410800446105,,579.1,$7.7,335356.81,3.6417499526814687,14.193660847764637
Ke'Bryan Hayes,17.10883237282604,,586.3,$11.5,343747.68999999994,3.705923139867961,13.402909232958079
Kevin Kiermaier,15.662641899333346,,501.2,$6.9,251201.44,3.428640992093282,12.234000907240064
Jackie Bradley Jr.,15.783062842146055,,567.5,$8.7,322056.25,3.55418988679021,12.228872955355845
Tanner Rainey,15.96,,598.6,$8.3,358321.96,3.832962652209627,12.127037347790374
Kyle Seager,15.861329688422448,,433.9,$8.3,188269.21,3.953860696620545,11.907468991801903
Harrison Bader,14.91695001084451,,561.3,$7.9,315057.68999999994,3.5154013923697907,11.401548618474719
Rafael Montero,14.81,,564.9,$9.0,319112.00999999995,3.537244316941825,11.272755683058175
Andrelton Simmons,14.519406239851172,,521.8,$7.7,272275.23999999993,3.39931401933846,11.120092220512712
Mitch Haniger,14.610506935587043,,578.7,$9.3,334893.69000000006,3.63840544422259,10.972101491364453
Orlando Arcia,14.579705872191013,,576.3,$6.4,332121.68999999994,3.6188261872322016,10.960879684958812
J.P. Crawford,14.506675434968798,,575.9,$4.5,331660.81,3.615644276694292,10.891031158274506
Nico Hoerner,14.26444095180913,,555.3,$6.2,308358.08999999997,3.483177607479476,10.781263344329654
Drew Pomeranz,14.71,,434.6,$10.1,188877.16000000003,3.9450137181307525,10.764986281869248
Aaron Hicks,16.81769997319054,,325.5,$11.7,105950.25,6.1823403640464285,10.63535960914411
Nick Ahmed,13.96160450621027,,547.2,$4.9,299427.84,3.4479658141963743,10.513638692013895
Brandon Nimmo,15.150358628691219,,390,$9.6,152100,4.650816282170986,10.499542346520233
Josh Naylor,14.257451817458147,,594.3,$11.5,353192.48999999993,3.7860534254675997,10.471398391990547
Evan White,14.65358417704736,,416.9,$6.6,173805.61,4.190557725310274,10.463026451737086
A.J. Pollock,17.035247508780312,,312,$12.9,97344,6.5793274565950295,10.455920052185283
Kevin Pillar,13.73985150020079,,548,$7.6,300304,3.4510196061667084,10.288831894034082
Yimi Garcia,14.09,,598.3,$7.2,357962.88999999996,3.8296028094310923,10.260397190568908
