"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Vladimir Guerrero Jr.","TOR","152","650","568","174","32","2","41","107","109","74","101","6","3","2","",".306",".390",".587",".976",".410","159","","5.6","","5.8","","4.78","0.22","1.43","19611"
"Freddie Freeman","","153","668","573","169","34","2","31","105","96","86","108","7","6","3","",".295",".392",".526",".918",".388","141","","4.7","","19.7","","2.19","0.65","0.96","5361"
"Matt Olson","OAK","149","638","545","140","28","1","37","88","100","79","133","9","3","1","",".257",".356",".517",".873",".369","139","","4.5","","41.0","","1.72","-0.72","1.15","14344"
"Paul Goldschmidt","STL","151","661","578","160","29","2","30","96","89","75","138","4","8","2","",".277",".362",".490",".852",".360","127","","3.5","","48.2","","2.27","-0.60","0.52","9218"
"Pete Alonso","NYM","153","650","568","147","28","2","40","91","107","64","144","14","2","1","",".259",".347",".527",".874",".369","133","","3.5","","50.0","","1.75","0.28","1.34","19251"
"Max Muncy","LAD","125","525","440","111","20","2","30","82","83","74","117","8","2","1","",".251",".367",".510",".877",".373","136","","3.3","","146.2","","3.62","0.55","0.82","13301"
"Rhys Hoskins","PHI","131","573","482","116","26","1","34","84","87","80","135","8","3","2","",".242",".357",".515",".872",".371","131","","3.1","","134.7","","5.95","0.19","1.09","16472"
"DJ LeMahieu","NYY","145","645","578","163","27","2","14","85","64","58","87","4","4","2","",".282",".350",".409",".759",".331","108","","2.9","","111.0","","2.85","0.12","0.98","9874"
"Brandon Belt","SFG","123","507","434","109","22","3","26","72","70","65","123","6","3","2","",".250",".354",".492",".846",".361","128","","2.5","","232.5","","3.43","0.41","0.44","10264"
"Ty France","SEA","142","589","526","144","28","1","19","73","72","41","108","18","0","0","",".273",".345",".438",".783",".340","120","","2.5","","139.7","","2.88","0.18","0.68","17982"
"Jared Walsh","LAA","141","583","522","137","29","2","29","77","91","48","148","6","2","1","",".262",".328",".493",".821",".347","120","","2.3","","117.6","","2.14","-0.34","0.83","18607"
"José Abreu","CHW","148","641","571","152","30","2","31","85","102","49","140","14","1","1","",".267",".337",".488",".825",".349","120","","2.2","","75.7","","2.81","-0.04","1.08","15676"
"Anthony Rizzo","","138","585","503","129","23","2","24","76","74","59","90","17","5","2","",".256",".352",".451",".802",".344","116","","2.1","","183.5","","1.45","0.95","0.26","3473"
"Joey Votto","CIN","139","590","501","128","24","1","30","81","84","81","132","4","1","1","",".255",".361",".486",".848",".358","119","","2.0","","139.3","","2.86","-1.07","0.81","4314"
"Josh Bell","WSN","144","604","525","140","27","2","29","83","94","69","117","4","0","0","",".267",".352",".491",".843",".358","122","","2.0","","128.6","","2.23","-0.25","0.95","13145"
"Nathaniel Lowe","TEX","144","596","517","134","25","2","19","75","72","72","150","3","6","1","",".259",".352",".427",".779",".339","116","","1.9","","245.9","","1.57","0.12","0.21","19566"
"Ryan Mountcastle","BAL","145","612","560","147","28","2","32","77","88","40","155","5","4","2","",".263",".315",".489",".803",".339","114","","1.8","","113.5","","1.19","-0.08","0.71","18373"
"Jonathan Schoop","DET","140","597","552","145","26","2","22","73","74","31","123","8","2","1","",".263",".309",".440",".749",".320","102","","1.8","","198.7","","1.26","-0.73","0.45","11265"
"Bobby Dalbec","BOS","132","515","459","109","22","3","31","66","79","47","171","8","3","1","",".238",".318",".501",".819",".347","116","","1.7","","222.9","","4.02","-0.28","0.94","19966"
"Yandy Díaz","TBR","114","472","408","111","19","1","12","58","54","58","76","3","1","1","",".271",".364",".412",".776",".340","114","","1.6","","409.7","","3.40","-0.50","0.70","16578"
"C.J. Cron","COL","135","545","481","129","27","1","29","71","87","50","122","11","1","0","",".268",".349",".508",".857",".364","115","","1.6","","123.6","","3.48","-1.19","0.82","12546"
"Luke Voit","NYY","119","485","428","107","18","1","26","65","71","48","134","9","0","0","",".251",".337",".476",".813",".348","120","","1.6","","260.9","","2.14","-1.92","0.58","14811"
"Trey Mancini","BAL","145","621","559","147","29","2","25","79","78","52","141","8","0","0","",".263",".333",".455",".787",".338","113","","1.5","","193.0","","2.98","-0.55","0.64","15149"
"Yuli Gurriel","HOU","132","552","496","139","28","1","15","68","69","42","65","4","2","1","",".279",".336",".434",".769",".331","112","","1.4","","202.3","","4.11","-0.33","0.78","19198"
"Austin Nola","SDP","93","350","312","81","16","1","9","37","41","29","57","6","1","1","",".260",".332",".406",".738",".321","101","","1.3","","361.9","","2.75","0.13","0.88","15941"
"Jesús Aguilar","MIA","128","511","451","115","21","0","21","60","75","49","100","4","0","0","",".256",".330",".443",".772",".331","110","","1.1","","302.1","","3.86","1.83","0.58","11342"
"Alex Kirilloff","MIN","119","494","456","124","25","2","19","58","66","30","104","4","4","2","",".271",".321",".458",".779",".332","110","","1.1","","177.9","","4.42","-0.45","0.56","20325"
"Garrett Cooper","MIA","107","431","382","101","18","1","15","53","54","41","110","6","2","1","",".265",".344",".436",".780",".338","115","","1.1","","510.1","","3.75","1.43","0.57","15279"
"Connor Joe","COL","112","432","374","99","21","1","15","56","54","49","92","5","2","1","",".266",".355",".447",".802",".347","104","","1.0","","330.7","","3.83","-0.33","0.54","16572"
