"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Will Smith","LAD","127","507","428","113","22","2","28","74","82","61","105","11","2","1","",".264",".365",".522",".887",".375","137","","4.6","","61.1","","2.46","-0.29","0.63","19197"
"Yasmani Grandal","CHW","125","510","411","97","17","1","26","71","72","89","123","4","1","1","",".236",".374",".468",".842",".363","129","","4.1","","97.4","","2.04","2.10","0.71","11368"
"Salvador Perez","KCR","139","585","545","144","25","1","34","74","99","25","139","10","1","1","",".264",".307",".501",".808",".339","114","","3.7","","33.3","","1.90","0.52","1.12","7304"
"J.T. Realmuto","PHI","142","587","526","138","27","3","22","77","79","47","137","10","12","3","",".262",".333",".452",".786",".337","109","","3.6","","51.4","","2.43","-0.45","0.29","11739"
"Tyler Stephenson","CIN","130","478","420","113","23","1","14","61","56","47","98","7","0","0","",".270",".351",".426",".777",".338","106","","3.0","","136.7","","3.72","-0.40","0.63","17988"
"Willson Contreras","CHC","130","523","453","111","21","1","22","69","68","52","140","14","4","2","",".245",".339",".445",".784",".339","113","","2.7","","109.0","","2.11","-0.04","0.31","11609"
"Sean Murphy","OAK","112","425","373","85","19","1","18","49","52","42","109","7","0","0","",".227",".316",".421",".738",".320","106","","2.6","","238.1","","1.64","0.03","0.41","19352"
"Adley Rutschman","BAL","103","421","369","93","19","1","14","50","49","45","79","4","2","1","",".254",".338",".425",".763",".330","107","","2.6","","185.8","","4.88","1.11","0.46","sa3011643"
"Mitch Garver","MIN","106","409","356","85","18","1","20","53","55","45","118","5","1","1","",".239",".330",".466",".795",".341","116","","2.5","","183.9","","4.47","0.54","0.41","15161"
"Jacob Stallings","MIA","113","422","374","91","18","1","9","41","43","40","92","4","0","0","",".243",".320",".365",".685",".302","91","","2.2","","379.2","","2.49","0.75","0.53","13723"
"Daulton Varsho","ARI","112","424","382","97","20","3","16","57","54","37","91","4","10","2","",".253",".324",".450",".774",".332","105","","2.0","","95.4","","4.46","1.02","0.61","19918"
