"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Yordan Alvarez","HOU","144","614","542","153","32","1","38","93","108","61","144","8","1","1","",".281",".361",".559",".920",".386","150","","4.3","","28.6","","2.24","-0.22","1.27","19556"
"Shohei Ohtani","LAA","142","595","511","133","25","5","38","96","93","78","170","4","22","7","",".260",".361",".548",".910",".381","143","","3.9","","8.5","","6.37","-0.02","0.90","19755"
"Giancarlo Stanton","NYY","136","579","508","133","22","0","35","77","93","63","160","5","1","0","",".262",".347",".511",".859",".359","127","","2.3","","96.6","","3.27","0.29","1.04","4949"
"J.D. Martinez","BOS","144","625","558","153","34","2","30","85","94","58","146","4","1","1","",".274",".343",".501",".844",".356","122","","2.1","","89.4","","2.49","-1.24","0.94","6184"
"Michael Brantley","HOU","117","505","460","134","27","2","12","65","55","39","59","4","2","1","",".291",".352",".435",".787",".339","118","","2.0","","250.4","","2.73","0.04","1.16","4106"
"Franmil Reyes","CLE","144","590","526","134","23","1","36","77","97","54","176","3","3","1","",".255",".324",".506",".830",".349","122","","1.8","","126.1","","3.61","-0.76","1.07","14566"
"Nelson Cruz","","127","540","478","125","21","1","28","72","83","50","127","8","1","1","",".261",".337",".486",".823",".348","119","","1.5","","175.3","","3.30","-0.11","0.71","2434"
"Trey Mancini","BAL","145","621","559","147","29","2","25","79","78","52","141","8","0","0","",".263",".333",".455",".787",".338","113","","1.5","","193.0","","2.98","-0.55","0.64","15149"
"Austin Meadows","TBR","136","579","512","127","28","3","26","79","85","54","129","6","6","3","",".248",".324",".469",".793",".337","112","","1.5","","135.7","","3.43","-0.68","0.64","15672"
"Jorge Soler","","136","568","493","118","24","0","31","75","82","64","149","8","1","1","",".239",".333",".477",".810",".346","113","","1.3","","197.4","","3.84","-1.61","1.01","14221"
"Luis Torrens","SEA","84","319","290","70","14","1","11","33","38","25","78","2","0","0","",".240",".303",".413",".716",".305","97","","0.8","","396.2","","4.57","-0.37","0.77","15905"
"Gavin Sheets","CHW","110","418","377","96","17","1","18","51","59","35","94","3","1","1","",".254",".321",".448",".770",".330","108","","0.8","","487.0","","4.76","-0.70","0.49","19901"
"Rowdy Tellez","MIL","116","436","392","99","20","1","21","53","62","34","91","6","1","0","",".254",".320",".469",".789",".335","108","","0.8","","316.5","","5.41","-0.23","0.49","15679"
"Jed Lowrie","","104","414","369","91","21","1","12","46","50","39","87","2","0","0","",".246",".321",".404",".725",".311","100","","0.8","","594.2","","1.66","-0.87","0.42","4418"
"Seiya Suzuki","","36","140","124","32","6","0","6","17","18","16","27","0","2","1","",".259",".345",".465",".810",".349","120","","0.7","","999.0","","2.19","0.51","1.54","sa3018052"
"Yoshi Tsutsugo","PIT","118","460","399","91","20","1","17","54","57","54","117","3","0","0","",".229",".323",".413",".736",".320","100","","0.4","","367.4","","3.65","-0.11","0.35","27459"
"Nick Fortes","MIA","29","101","92","22","4","0","2","10","11","7","19","1","1","0","",".241",".303",".363",".665",".291","84","","0.3","","592.5","","3.41","1.15","1.68","21538"
"Willie Calhoun","TEX","111","432","393","100","19","2","15","48","50","31","60","4","1","1","",".255",".312",".430",".742",".318","102","","0.3","","433.6","","5.32","0.30","0.51","17838"
"Mitch Moreland","","71","267","240","56","11","1","12","32","36","23","61","2","0","0","",".234",".305",".433",".737",".314","102","","0.3","","600.9","","3.19","0.13","0.82","3086"
"Seth Beer","ARI","85","307","274","70","15","1","11","38","39","22","70","9","1","0","",".254",".330",".436",".766",".331","104","","0.3","","551.4","","4.12","0.12","0.81","20493"
"Daniel Vogelbach","","49","175","147","34","6","0","7","22","21","27","41","1","0","0","",".231",".352",".417",".769",".337","109","","0.3","","600.3","","2.93","1.85","1.22","14130"
"Jake Burger","CHW","24","88","81","20","4","0","3","10","11","6","26","1","0","0","",".244",".304",".416",".719",".310","94","","0.2","","590.2","","4.70","2.83","1.67","22275"
"Renato Núñez","","25","98","89","21","4","0","4","12","13","7","26","2","0","0","",".239",".306",".439",".746",".320","103","","0.1","","599.6","","5.87","3.48","1.59","14503"
"Taylor Jones","HOU","24","92","82","19","4","0","3","10","11","8","24","1","0","0","",".238",".311",".390",".701",".305","95","","0.1","","999.0","","3.94","1.94","1.65","19533"
"Yermín Mercedes","CHW","16","53","49","13","2","0","2","6","7","3","10","0","0","0","",".254",".304",".406",".709",".306","91","","0.1","","585.6","","3.98","2.76","1.84","17423"
"Khris Davis","","58","217","194","43","7","1","9","24","28","19","59","2","0","0","",".224",".297",".406",".703",".302","94","","-0.1","","999.0","","2.69","-0.59","1.02","9112"
"Miguel Cabrera","DET","111","462","416","105","16","0","14","47","58","37","103","4","0","0","",".252",".315",".392",".707",".304","91","","-0.4","","495.1","","2.50","0.26","0.48","1744"
