"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Juan Soto","WSN","153","663","521","163","30","3","36","114","106","135","101","3","10","5","",".313",".454",".590","1.044",".438","174","","7.6","","4.3","","2.55","0.32","0.99","20123"
"Mike Trout","LAA","134","577","467","131","24","3","37","97","94","95","136","10","7","2","",".281",".410",".581",".991",".412","164","","6.2","","14.0","","3.66","-0.24","0.71","10155"
"Mookie Betts","LAD","146","658","566","159","34","3","31","113","87","79","100","8","14","5","",".281",".374",".516",".890",".377","139","","5.9","","15.2","","2.80","1.00","0.69","13611"
"Ronald Acuña Jr.","ATL","133","586","497","140","27","2","37","108","84","75","147","10","23","7","",".281",".383",".565",".948",".399","148","","5.6","","11.0","","4.71","0.22","0.71","18401"
"Aaron Judge","NYY","145","627","542","150","25","1","39","97","97","77","166","5","5","2","",".276",".370",".539",".909",".382","142","","5.4","","36.5","","2.89","-2.16","0.94","15640"
"Bryce Harper","PHI","150","645","527","146","32","2","37","104","102","106","145","6","14","4","",".278",".401",".559",".960",".401","151","","5.3","","9.4","","3.39","0.85","0.48","11579"
"Kyle Tucker","HOU","149","611","549","154","34","4","32","89","96","54","111","4","17","4","",".280",".347",".531",".878",".369","138","","4.7","","12.5","","1.97","1.53","0.23","18345"
"Luis Robert","CHW","140","598","546","156","32","3","28","87","84","39","142","9","19","5","",".286",".341",".511",".852",".361","128","","4.6","","17.2","","3.51","-1.01","0.50","20043"
"Byron Buxton","MIN","122","496","458","124","30","3","29","79","74","28","122","7","15","4","",".270",".319",".540",".859",".360","129","","4.5","","57.2","","5.29","-1.08","0.45","14161"
"George Springer","TOR","134","591","513","135","24","2","35","96","84","66","125","8","6","2","",".264",".354",".523",".877",".372","134","","4.2","","58.1","","3.00","-1.41","0.78","12856"
"Bryan Reynolds","PIT","150","630","551","157","32","5","25","84","85","69","127","7","5","2","",".286",".370",".499",".869",".370","133","","4.1","","92.0","","1.96","1.27","0.73","19326"
"Ketel Marte","ARI","142","610","553","162","35","4","22","84","78","47","89","5","5","2","",".293",".351",".491",".843",".358","122","","3.8","","80.0","","2.70","-0.92","0.91","13613"
"Joey Gallo","NYY","143","593","487","102","18","1","38","86","89","97","207","7","5","1","",".209",".347",".488",".835",".356","125","","3.6","","179.5","","3.84","-0.31","1.87","14128"
"Cedric Mullins","BAL","149","643","572","149","30","5","23","87","62","51","121","7","26","7","",".261",".327",".450",".777",".333","109","","3.3","","31.5","","2.48","0.27","1.43","17929"
"Jesse Winker","CIN","135","566","488","140","28","1","28","83","78","67","98","10","2","1","",".287",".382",".523",".905",".386","137","","3.2","","106.8","","2.57","-1.01","0.85","13590"
