"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Fernando Tatis Jr.","SDP","142","615","539","155","30","3","44","113","106","66","162","6","27","7","",".287",".368",".597",".965",".402","155","","6.7","","1.8","","5.30","-1.52","0.58","19709"
"Trea Turner","LAD","147","651","595","181","34","5","26","110","86","47","111","5","32","7","",".304",".358",".506",".864",".368","132","","5.6","","1.5","","3.75","0.60","1.46","16252"
"Carlos Correa","","146","616","540","148","30","1","26","85","86","65","120","5","1","0","",".274",".355",".476",".831",".355","129","","5.1","","101.2","","2.03","-0.80","0.83","14162"
"Bo Bichette","TOR","150","645","597","174","36","3","27","103","91","41","127","5","21","5","",".291",".340",".499",".839",".357","124","","4.8","","5.2","","2.00","0.49","0.68","19612"
"Marcus Semien","TEX","150","665","594","154","32","3","30","96","85","66","126","3","11","4","",".260",".336",".477",".812",".348","122","","4.7","","37.3","","3.06","-0.50","0.56","12533"
"Corey Seager","TEX","132","566","503","145","31","2","25","83","82","54","94","5","2","1","",".289",".360",".508",".868",".368","136","","4.6","","77.8","","3.97","-0.39","0.88","13624"
"Xander Bogaerts","BOS","149","639","565","162","36","1","26","94","88","64","117","4","7","2","",".286",".360",".493",".852",".363","127","","4.6","","45.1","","2.71","0.37","0.70","12161"
"Wander Franco","TBR","144","621","564","165","33","8","18","90","80","48","74","5","8","4","",".293",".351",".471",".822",".352","122","","4.5","","54.3","","2.50","-0.93","0.98","23667"
"Francisco Lindor","NYM","147","646","568","145","28","3","26","91","82","64","109","6","14","5","",".256",".335",".454",".789",".337","112","","4.3","","50.1","","2.24","-0.47","0.59","12916"
"Ketel Marte","ARI","142","610","553","162","35","4","22","84","78","47","89","5","5","2","",".293",".351",".491",".843",".358","122","","3.8","","80.0","","2.70","-0.92","0.91","13613"
"Willy Adames","MIL","144","592","530","135","28","2","26","77","73","58","167","2","6","3","",".255",".330",".460",".790",".339","110","","3.3","","130.1","","3.49","-0.48","0.33","15986"
"Jorge Polanco","MIN","147","638","579","155","32","3","26","91","83","47","111","5","9","4","",".268",".325",".469",".795",".338","115","","3.3","","78.6","","2.03","1.25","0.32","13152"
"Tim Anderson","CHW","141","624","591","174","32","2","21","98","70","26","133","4","19","6","",".295",".327",".462",".789",".337","112","","3.2","","33.5","","2.38","-0.26","1.15","15172"
"Trevor Story","","147","632","565","145","32","4","28","91","81","56","156","8","22","6","",".256",".330",".472",".801",".342","100","","3.0","","38.3","","2.24","-0.46","1.01","12564"
"Javier Báez","DET","144","590","551","140","27","3","28","80","83","28","177","7","15","5","",".254",".297",".465",".762",".320","103","","2.9","","62.1","","4.47","0.59","0.65","12979"
"Dansby Swanson","ATL","150","633","571","144","30","2","25","82","78","51","158","6","10","3","",".252",".317",".445",".761",".324","100","","2.7","","123.8","","2.77","0.04","0.47","18314"
"Brandon Crawford","SFG","130","530","471","122","25","2","17","66","68","49","109","5","5","3","",".258",".332",".432",".764",".326","105","","2.6","","214.1","","3.33","0.59","0.19","5343"
