"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"José Ramírez","CLE","154","665","573","155","37","4","35","102","108","79","95","7","26","6","",".271",".363",".533",".895",".375","","2.2","2.7","","6.2","","3.8","13510"
"Vladimir Guerrero Jr.","TOR","154","665","577","176","31","2","45","114","118","78","101","5","3","1","",".306",".392",".598",".990",".413","","-0.3","-1.2","","6.0","","5.8","19611"
"Alex Bregman","HOU","146","630","529","144","34","1","26","91","93","87","84","8","3","1","",".272",".380",".490",".870",".372","","-0.6","-0.8","","5.3","","85.1","17678"
"Rafael Devers","BOS","154","665","597","168","39","2","37","102","111","57","138","6","6","4","",".281",".347",".537",".885",".371","","-4.5","0.0","","4.6","","15.6","17350"
"Manny Machado","SDP","156","672","596","163","30","2","31","90","107","66","111","4","11","4","",".274",".347",".490",".837",".352","","1.9","-0.4","","4.6","","22.3","11493"
"Nolan Arenado","STL","156","672","604","159","31","2","32","86","103","57","101","4","2","1","",".263",".327",".478",".805",".338","","6.0","0.0","","4.3","","67.7","9777"
"Matt Chapman","OAK","151","651","564","127","27","4","29","83","84","74","192","7","3","2","",".225",".320",".442",".762",".328","","8.0","0.0","","4.2","","188.5","16505"
"Anthony Rendon","LAA","133","574","493","134","31","1","21","77","83","67","88","8","2","0","",".272",".365",".468",".833",".356","","0.4","0.2","","4.1","","106.7","12861"
"Yoán Moncada","CHW","149","644","559","145","31","3","21","83","75","73","171","7","5","2","",".259",".349",".439",".789",".342","","0.6","0.0","","3.8","","150.6","17232"
"Austin Riley","ATL","154","665","597","163","31","2","33","88","102","53","173","9","1","1","",".272",".338",".497",".835",".354","","-4.6","-1.5","","3.4","","48.3","18360"
"Josh Donaldson","MIN","138","595","502","123","27","0","28","81","81","81","133","6","1","1","",".245",".354",".464",".818",".352","","-0.7","-1.6","","3.2","","198.3","5038"
"DJ LeMahieu","NYY","149","644","576","163","27","2","14","89","64","57","88","4","5","2","",".283",".349",".412",".761",".331","","3.2","-0.4","","3.1","","111.0","9874"
"Jeimer Candelario","DET","146","630","555","141","34","4","19","75","71","65","140","6","1","1","",".253",".336",".430",".766",".332","","-0.6","-0.7","","3.0","","240.2","13621"
"Ke'Bryan Hayes","PIT","139","602","540","140","32","3","14","75","59","50","128","4","11","3","",".260",".325",".412",".737",".319","","7.3","0.9","","3.0","","142.4","18577"
"Luis Arraez","MIN","144","623","559","168","29","5","5","77","52","55","59","2","4","3","",".301",".363",".398",".761",".333","","-1.2","-0.4","","2.9","","318.2","18568"
"Luis Urías","MIL","138","595","515","131","26","2","20","74","73","63","123","11","6","2","",".253",".345",".431",".777",".337","","0.9","-0.5","","2.9","","154.9","16622"
"Kris Bryant","","139","602","522","134","30","2","23","82","73","63","139","12","7","3","",".256",".347",".454",".801",".344","","-5.4","1.0","","2.7","","95.2","15429"
"Justin Turner","LAD","138","595","522","140","24","0","22","79","83","55","100","13","3","0","",".269",".349",".442",".791",".343","","-2.3","-1.2","","2.6","","153.9","5235"
"Eduardo Escobar","NYM","138","595","541","132","25","4","26","70","82","46","127","3","1","1","",".244",".304",".447",".751",".319","","-0.1","-0.9","","2.4","","195.6","6153"
