"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Yasmani Grandal","CHW","134","539","434","102","18","1","26","72","77","94","131","5","1","1","",".235",".373",".463",".836",".362","","1.2","-2.7","","4.7","","97.4","11368"
"Will Smith","LAD","126","509","434","109","21","2","27","72","84","58","110","11","3","0","",".252",".350",".498",".849",".359","","0.9","-0.8","","4.0","","61.1","19197"
"J.T. Realmuto","PHI","149","602","538","138","28","3","22","77","84","49","140","10","10","3","",".257",".328",".445",".774",".331","","3.2","1.7","","3.8","","51.4","11739"
"Sean Murphy","OAK","115","460","402","91","22","1","18","54","58","43","118","9","1","0","",".227",".313",".421",".734",".318","","2.6","-0.3","","3.2","","238.1","19352"
"Jacob Stallings","MIA","109","429","381","94","19","1","8","42","44","39","92","4","1","0","",".247",".320",".368",".689",".303","","6.2","-0.8","","3.0","","379.2","13723"
"Max Stassi","LAA","105","416","369","82","14","1","15","48","48","36","126","7","1","0","",".223",".303",".394",".697",".304","","2.0","-1.0","","2.9","","294.6","10059"
"Adley Rutschman","BAL","102","405","354","93","17","2","15","53","50","41","70","4","2","1","",".261",".342",".444",".787",".339","","1.0","-0.5","","2.8","","185.8","sa3011643"
"Salvador Perez","KCR","149","601","561","146","25","0","36","74","99","24","148","11","1","0","",".260",".301",".499",".800",".336","","2.6","-1.3","","2.7","","33.3","7304"
"Danny Jansen","TOR","100","399","349","82","18","1","18","52","54","38","82","6","1","0","",".234",".318",".443",".761",".327","","0.7","-0.5","","2.4","","357.0","16535"
"Keibert Ruiz","WSN","125","506","462","125","23","1","21","59","70","35","60","5","1","0","",".270",".326",".460",".786",".336","","-0.5","-0.6","","2.4","","141.5","19610"
"Mitch Garver","MIN","102","406","354","84","18","1","19","53","55","43","115","5","2","1","",".237",".328",".457",".785",".337","","-2.9","-0.8","","2.3","","183.9","15161"
"Mike Zunino","TBR","86","339","305","61","12","1","20","43","50","26","120","5","1","0","",".201",".275",".445",".719",".306","","1.9","-0.5","","2.3","","240.2","13265"
"Tyler Stephenson","CIN","112","443","388","103","21","0","12","55","50","43","87","6","1","0","",".265",".345",".413",".758",".330","","1.3","-0.6","","2.3","","136.7","17988"
"Willson Contreras","CHC","141","574","494","118","23","1","24","72","75","58","153","16","5","3","",".239",".336",".436",".772",".334","","-0.2","-1.8","","2.3","","109.0","11609"
"Carson Kelly","ARI","104","411","356","85","16","1","15","47","51","45","86","5","1","0","",".240",".330",".418",".749",".323","","0.1","-0.4","","2.1","","267.0","13620"
"Jonah Heim","TEX","79","314","287","70","14","0","8","32","33","20","56","2","2","1","",".243",".296",".378",".673",".292","","3.8","-0.4","","2.0","","455.9","16930"
"Omar Narváez","MIL","104","413","363","91","15","0","12","45","45","41","82","5","0","0","",".251",".332",".392",".724",".316","","-1.3","-0.9","","1.8","","247.4","13338"
"Daulton Varsho","ARI","105","438","393","99","20","3","16","56","53","37","91","4","9","3","",".252",".321",".442",".764",".327","","-1.7","0.8","","1.8","","95.4","19918"
"Alejandro Kirk","TOR","87","359","318","85","19","0","14","45","47","32","50","4","1","0","",".267",".339",".465",".804",".345","","-0.5","-0.4","","1.8","","234.1","22581"
"Roberto Pérez","PIT","110","435","381","78","12","1","14","41","46","43","129","4","2","1","",".205",".290",".352",".642",".283","","6.7","-1.1","","1.7","","496.3","2900"
"Christian Vázquez","BOS","94","371","341","87","17","1","9","40","39","24","68","2","5","3","",".256",".307",".386",".694",".301","","2.3","-1.2","","1.6","","202.0","9774"
"Travis d'Arnaud","ATL","139","570","514","127","25","0","20","63","74","45","136","5","1","0","",".247",".311",".413",".724",".313","","-1.8","-1.2","","1.5","","207.6","7739"
"Manny Piña","ATL","76","304","269","61","11","0","12","33","41","26","67","7","1","0","",".228",".308",".404",".712",".309","","2.4","-0.8","","1.5","","553.2","2829"
"Austin Nola","SDP","87","355","315","82","17","1","8","39","40","29","61","6","1","1","",".260",".331",".399",".730",".319","","-1.0","-0.4","","1.4","","361.9","15941"
"Austin Hedges","CLE","99","390","355","71","13","0","14","39","45","24","112","4","2","1","",".199",".256",".359",".615",".264","","4.3","-0.4","","1.4","","580.3","12976"
"Tucker Barnhart","DET","94","371","330","75","16","1","7","34","34","33","86","4","1","1","",".229",".305",".342",".647",".285","","3.1","-1.1","","1.3","","399.6","10200"
"Gary Sánchez","NYY","100","399","347","72","12","1","21","50","58","43","112","6","0","0","",".209",".305",".432",".737",".317","","-5.2","-0.8","","1.3","","255.8","11442"
"Yadier Molina","STL","112","444","413","103","18","0","10","42","52","21","74","6","3","0","",".249",".293",".368",".661",".287","","3.3","-1.6","","1.3","","298.7","7007"
"Francisco Mejía","TBR","66","262","239","60","13","2","7","29","30","15","51","5","1","0","",".250",".306",".415",".721",".310","","0.4","-0.2","","1.3","","414.0","16403"
"Cal Raleigh","SEA","68","269","248","56","14","0","10","29","33","16","66","2","2","1","",".228",".279",".408",".687",".294","","-1.2","-0.1","","1.2","","539.8","21534"
"Martín Maldonado","HOU","115","454","400","78","15","1","13","47","46","43","132","6","1","0","",".196",".282",".337",".619",".273","","3.2","-1.6","","1.2","","549.2","6887"
"Austin Allen","OAK","57","224","208","52","11","1","9","25","28","12","51","2","1","0","",".248",".292",".431",".723",".308","","0.0","-0.3","","1.2","","599.9","18083"
"Kyle Higashioka","NYY","62","243","223","48","10","0","11","27","34","16","65","1","1","0","",".213",".268",".413",".681",".291","","0.0","-0.3","","1.2","","563.0","5517"
"Jose Trevino","TEX","78","307","288","69","16","0","6","30","31","13","58","1","2","1","",".241",".273",".363",".636",".273","","1.4","-0.8","","1.1","","584.0","16725"
"Kevin Plawecki","BOS","63","250","224","59","13","1","5","26","27","19","43","4","1","0","",".261",".330",".399",".729",".319","","-1.5","-0.6","","1.0","","576.1","13807"
"Joey Bart","SFG","96","378","348","82","16","1","10","42","39","20","111","6","2","1","",".236",".288",".375",".663",".288","","-0.7","-0.4","","1.0","","265.8","21524"
"Austin Barnes","LAD","58","230","201","44","9","0","6","27","24","22","56","4","2","1","",".219",".307",".356",".662",".291","","0.5","-0.1","","1.0","","592.1","12158"
"James McCann","NYM","102","403","367","85","15","1","11","39","45","28","113","4","3","2","",".233",".292",".369",".661",".288","","-0.1","-0.9","","1.0","","347.3","12859"
"Elias Díaz","COL","91","358","325","86","17","1","12","42","43","27","60","2","1","0","",".263",".323",".432",".755",".324","","-1.5","-0.6","","1.0","","246.6","11680"
"Tom Murphy","SEA","65","256","227","49","9","1","10","27","30","24","80","2","1","1","",".214",".293",".386",".679",".296","","-0.4","-0.3","","1.0","","491.5","13499"
"Yan Gomes","CHC","71","284","260","64","12","1","10","32","36","17","63","4","1","0","",".247",".302",".414",".716",".305","","0.7","-0.4","","0.9","","377.2","9627"
"Ryan Jeffers","MIN","47","186","166","36","6","0","7","20","22","15","58","3","0","0","",".216",".290",".392",".682",".296","","0.2","-0.4","","0.8","","470.2","24618"
"Jason Castro","HOU","40","160","136","29","6","0","6","19","17","20","50","2","0","0","",".213",".319",".388",".707",".310","","-0.8","-0.4","","0.7","","592.4","8722"
"Victor Caratini","SDP","60","237","209","51","9","0","6","25","26","23","53","3","1","0","",".243",".325",".372",".696",".302","","-0.8","-0.2","","0.7","","558.1","14968"
