"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Yordan Alvarez","HOU","146","630","557","159","35","1","39","96","119","62","149","7","2","1","",".285",".362",".561",".922",".386","","0.0","-0.4","","4.4","","28.6","19556"
"Shohei Ohtani","LAA","147","637","541","140","26","6","40","100","103","86","181","4","23","9","",".260",".363",".548",".912",".378","","0.0","0.3","","3.8","","8.5","19755"
"Giancarlo Stanton","NYY","138","595","521","136","23","0","36","80","102","64","166","5","1","0","",".262",".345",".515",".860",".364","","0.0","-1.4","","2.8","","96.6","4949"
"Austin Meadows","TBR","141","609","540","136","30","4","28","81","94","57","134","6","7","3","",".252",".328",".477",".804",".341","","0.2","-1.4","","2.4","","135.7","15672"
"Franmil Reyes","CLE","149","644","575","146","24","2","40","84","109","60","197","3","4","1","",".255",".326",".512",".838",".353","","0.0","-1.5","","2.3","","126.1","14566"
"Michael Brantley","HOU","125","539","490","144","29","2","13","70","60","39","64","5","3","1","",".295",".350",".441",".792",".341","","-0.2","-0.7","","2.3","","250.4","4106"
"Jorge Soler","","146","630","545","129","28","0","35","83","96","72","168","8","1","0","",".236",".331",".481",".813",".347","","-1.9","-1.6","","2.0","","197.4","14221"
"J.D. Martinez","BOS","154","665","592","160","35","2","30","89","98","62","155","5","1","0","",".270",".342",".488",".830",".350","","-0.1","-1.9","","2.0","","89.4","6184"
"Trey Mancini","BAL","149","644","577","152","32","2","26","82","84","54","143","8","1","0","",".264",".334",".461",".795",".339","","-0.8","-0.7","","1.7","","193.0","15149"
"Nelson Cruz","","133","574","509","133","20","1","31","76","89","51","137","8","2","0","",".262",".335",".487",".822",".344","","0.0","-2.0","","1.5","","175.3","2434"
"Gavin Sheets","CHW","110","476","431","110","20","0","22","59","71","36","107","3","2","1","",".256",".316",".457",".773",".331","","-0.1","-0.9","","1.3","","487.0","19901"
"Rowdy Tellez","MIL","112","483","433","112","22","1","23","61","68","39","108","6","1","1","",".258",".326",".476",".801",".339","","-0.3","-0.8","","1.2","","316.5","15679"
"Willie Calhoun","TEX","123","532","483","126","23","3","20","64","63","40","77","5","2","1","",".262",".322",".445",".767",".329","","-1.7","-1.4","","1.1","","433.6","17838"
"Yoshi Tsutsugo","PIT","123","532","458","105","22","1","20","64","62","63","129","3","1","1","",".230",".324",".413",".737",".320","","-0.1","-0.9","","0.6","","367.4","27459"
"Seth Beer","ARI","89","385","340","88","18","0","14","47","46","27","80","14","1","1","",".259",".337",".436",".772",".334","","-0.5","-0.7","","0.6","","551.4","20493"
"Jed Lowrie","","110","476","425","103","25","0","13","52","59","44","101","3","0","0","",".243",".316",".392",".708",".308","","-1.9","-1.3","","0.5","","594.2","4418"
"Daniel Vogelbach","","42","182","151","35","6","0","8","23","23","28","42","1","0","0","",".230",".353",".425",".778",".340","","0.0","-0.5","","0.5","","600.3","14130"
"Luis Torrens","SEA","58","241","219","52","10","1","8","25","29","18","60","1","0","0","",".236",".295",".402",".698",".300","","-0.2","-0.4","","0.5","","396.2","15905"
"Mitch Moreland","","89","385","345","82","16","1","17","47","54","34","88","2","1","0","",".237",".307",".438",".745",".319","","-0.2","-1.1","","0.4","","600.9","3086"
"Nick Fortes","MIA","32","128","115","28","5","1","3","15","14","9","23","2","1","0","",".241",".305",".385",".689",".300","","-0.7","0.0","","0.3","","592.5","21538"
"Jake Burger","CHW","13","56","51","13","2","0","2","7","7","4","13","1","0","0","",".254",".315",".448",".763",".327","","-0.1","-0.1","","0.3","","590.2","22275"
"Renato Núñez","","23","98","88","21","4","0","5","12","14","7","25","2","0","0","",".244",".310",".455",".765",".327","","0.1","-0.1","","0.2","","599.6","14503"
"Taylor Jones","HOU","15","63","56","14","3","0","2","8","8","6","16","1","0","0","",".247",".318",".416",".734",".317","","0.2","-0.1","","0.2","","999.0","19533"
"Yoenis Céspedes","","52","224","202","47","9","1","9","26","28","16","68","3","3","1","",".231",".294",".420",".714",".307","","-0.2","-0.4","","0.0","","999.0","13110"
"Khris Davis","","53","231","207","47","7","1","11","27","33","19","63","2","0","0","",".226",".295",".433",".729",".312","","0.0","-0.4","","0.0","","999.0","9112"
"Miguel Cabrera","DET","122","525","474","119","17","0","16","52","67","41","119","5","0","0","",".252",".314",".391",".704",".306","","-0.3","-2.6","","-0.2","","495.1","1744"
