"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Juan Soto","WSN","156","672","523","163","29","3","36","116","115","140","100","4","12","5","",".312",".457",".584","1.041",".433","","-0.1","-0.8","","7.4","","4.3","20123"
"Mike Trout","LAA","147","637","508","138","26","3","39","105","105","112","149","12","10","2","",".272",".412",".564",".976",".406","","0.4","1.1","","6.5","","14.0","10155"
"Aaron Judge","NYY","152","658","565","155","25","0","41","100","107","82","173","5","6","2","",".275",".369",".537",".906",".383","","7.6","-0.2","","6.0","","36.5","15640"
"Mookie Betts","LAD","156","672","574","160","34","3","30","114","83","82","103","8","18","5","",".279",".373",".504",".878",".373","","9.4","1.9","","5.8","","15.2","13611"
"Ronald Acuña Jr.","ATL","131","567","476","134","25","2","36","104","84","75","138","10","23","8","",".281",".387",".565",".952",".400","","1.8","1.7","","5.6","","11.0","18401"
"Bryce Harper","PHI","156","672","545","147","34","1","36","103","106","114","155","6","14","4","",".270",".399",".538",".937",".392","","-1.8","-0.9","","5.0","","9.4","11579"
"Kyle Tucker","HOU","147","637","570","161","35","4","32","94","104","58","114","4","19","4","",".283",".350",".528",".878",".370","","3.2","1.6","","5.0","","12.5","18345"
"Byron Buxton","MIN","131","567","524","141","36","3","32","85","86","29","139","7","18","4","",".268",".313",".529",".843",".354","","7.2","2.4","","4.9","","57.2","14161"
"Luis Robert","CHW","149","644","588","166","32","4","29","89","90","39","152","9","18","6","",".282",".335",".499",".834",".353","","2.5","0.7","","4.8","","17.2","20043"
"George Springer","TOR","151","651","567","149","28","3","35","104","92","70","138","8","8","3","",".263",".350",".506",".856",".364","","-2.0","-0.1","","4.3","","58.1","12856"
"Joey Gallo","NYY","147","637","520","107","18","1","43","95","104","106","229","7","6","2","",".207",".347",".494",".841",".357","","3.9","0.9","","4.2","","179.5","14128"
"Ketel Marte","ARI","149","644","580","168","38","5","21","86","77","52","97","6","5","1","",".290",".351",".482",".834",".355","","-0.5","0.0","","3.8","","80.0","13613"
"Tyler O'Neill","STL","146","630","566","146","26","2","38","94","100","48","194","12","15","5","",".258",".326",".515",".841",".355","","1.6","1.3","","3.8","","50.6","15711"
"Bryan Reynolds","PIT","154","665","581","162","33","6","23","89","87","72","135","7","5","3","",".279",".363",".475",".838",".357","","-3.9","-0.5","","3.6","","92.0","19326"
"Trent Grisham","SDP","139","602","520","128","26","4","20","80","68","69","135","6","15","5","",".246",".339",".428",".767",".332","","4.0","0.6","","3.5","","136.0","18564"
"Cedric Mullins","BAL","152","658","590","154","30","5","24","86","66","52","124","7","26","8","",".262",".326",".450",".777",".332","","0.8","2.0","","3.5","","31.5","17929"
"Harrison Bader","STL","139","602","532","131","27","2","21","76","71","51","148","12","14","5","",".246",".323",".426",".749",".320","","8.8","1.0","","3.4","","234.8","18030"
"Enrique Hernández","BOS","149","644","567","144","33","3","25","88","76","60","124","9","3","1","",".255",".332",".457",".790",".338","","1.1","0.5","","3.4","","220.2","10472"
"Christian Yelich","MIL","149","644","544","143","27","3","26","93","86","90","156","6","16","4","",".263",".371",".469",".841",".360","","-1.6","1.8","","3.3","","101.6","11477"
"Brandon Nimmo","NYM","134","581","480","124","25","5","16","79","52","83","125","12","8","5","",".259",".379",".429",".808",".355","","-1.0","-0.7","","3.3","","316.8","12927"
"Ramón Laureano","OAK","126","546","485","122","27","2","22","71","68","42","140","13","15","5","",".252",".325",".453",".779",".334","","0.1","0.9","","3.2","","225.8","17128"
"Cody Bellinger","LAD","134","581","507","124","24","3","29","81","90","66","132","3","11","3","",".244",".333",".474",".807",".340","","1.0","0.6","","3.2","","98.4","15998"
"Kyle Schwarber","","134","581","494","123","24","2","35","84","91","76","154","6","2","2","",".248",".352",".514",".866",".366","","-1.0","-1.3","","3.1","","123.1","16478"
"Jesse Winker","CIN","133","574","493","140","29","1","25","84","78","67","99","10","2","1","",".283",".379",".502",".881",".378","","-3.7","-2.0","","2.9","","106.8","13590"
"Starling Marte","NYM","134","581","525","142","27","3","16","81","64","36","110","14","31","8","",".271",".332",".424",".757",".327","","-2.6","3.1","","2.9","","28.7","9241"
"Giancarlo Stanton","NYY","138","595","521","136","23","0","36","80","102","64","166","5","1","0","",".262",".345",".515",".860",".364","","0.0","-1.4","","2.8","","96.6","4949"
"Max Kepler","MIN","130","560","487","115","26","3","24","76","71","61","103","7","8","3","",".236",".328",".452",".780",".334","","6.1","0.5","","2.8","","286.9","12144"
"Nick Castellanos","","151","651","592","165","40","2","31","93","98","46","139","7","3","2","",".278",".335",".509",".844",".355","","-5.1","-0.6","","2.8","","62.0","11737"
"Kris Bryant","","139","602","522","134","30","2","23","82","73","63","139","12","7","3","",".256",".347",".454",".801",".344","","-5.4","1.0","","2.7","","95.2","15429"
"Whit Merrifield","KCR","149","644","592","166","35","4","11","84","59","38","96","5","28","7","",".280",".327",".410",".736",".318","","2.4","2.7","","2.7","","30.9","11281"
"Jeff McNeil","NYM","133","574","516","145","30","2","14","69","63","40","77","13","5","2","",".280",".345",".426",".771",".335","","-1.4","-0.8","","2.7","","320.6","15362"
"Eloy Jiménez","CHW","146","630","581","158","29","1","34","80","104","39","152","4","1","0","",".272",".320",".503",".823",".348","","-3.2","-0.3","","2.6","","62.4","17484"
"Dylan Carlson","STL","146","630","554","143","31","5","20","78","75","58","145","9","4","2","",".259",".336",".439",".775",".333","","2.0","-0.7","","2.6","","174.8","20126"
"Randy Arozarena","TBR","147","637","559","144","29","3","23","88","75","56","168","16","21","10","",".257",".339",".446",".785",".337","","-2.2","-0.6","","2.6","","60.1","19290"
"Michael Conforto","","143","616","524","132","27","1","23","78","82","76","137","12","3","2","",".253",".357",".442",".799",".346","","-1.8","-0.5","","2.6","","199.5","16376"
"Alex Verdugo","BOS","141","609","547","158","35","2","15","81","65","51","97","4","7","2","",".289",".351",".442",".793",".340","","1.9","0.5","","2.5","","162.6","17027"
"Ian Happ","CHC","151","651","560","134","26","2","31","84","89","81","188","5","10","4","",".240",".340",".457",".797",".343","","-1.7","0.1","","2.4","","198.7","17919"
"Austin Meadows","TBR","141","609","540","136","30","4","28","81","94","57","134","6","7","3","",".252",".328",".477",".804",".341","","0.2","-1.4","","2.4","","135.7","15672"
"Tony Kemp","OAK","130","560","478","124","23","4","10","67","52","64","77","9","11","4","",".260",".354",".387",".741",".327","","-2.3","0.0","","2.4","","424.4","14894"
"Franmil Reyes","CLE","149","644","575","146","24","2","40","84","109","60","197","3","4","1","",".255",".326",".512",".838",".353","","0.0","-1.5","","2.3","","126.1","14566"
"Aaron Hicks","NYY","126","546","459","105","20","2","19","72","67","78","124","5","6","2","",".228",".343",".407",".750",".329","","-3.7","0.5","","2.3","","483.6","5297"
"Chris Taylor","LAD","147","637","559","138","31","4","20","83","81","64","178","7","11","3","",".247",".330",".428",".758",".327","","-4.5","1.2","","2.3","","136.2","13757"
"Michael Brantley","HOU","125","539","490","144","29","2","13","70","60","39","64","5","3","1","",".295",".350",".441",".792",".341","","-0.2","-0.7","","2.3","","250.4","4106"
"Myles Straw","CLE","130","560","495","132","23","2","4","67","40","56","108","3","26","6","",".266",".342",".347",".688",".307","","3.7","2.8","","2.3","","126.9","17620"
"Rhys Hoskins","PHI","123","532","447","106","26","1","28","75","78","72","130","8","4","2","",".238",".351",".490",".841",".359","","0.0","-1.0","","2.3","","134.7","16472"
"Teoscar Hernández","TOR","151","651","594","156","30","2","35","90","107","47","174","6","10","4","",".263",".321",".497",".818",".346","","-2.5","0.0","","2.2","","30.2","13066"
"Mitch Haniger","SEA","143","616","548","135","25","2","30","87","85","53","154","9","3","0","",".247",".320",".464",".783",".334","","-0.4","-0.8","","2.2","","107.1","14274"
"Adam Frazier","SEA","133","574","518","138","26","3","9","68","46","41","73","8","7","5","",".267",".330",".380",".710",".310","","0.7","-0.5","","2.2","","351.1","15223"
"Mark Canha","NYM","134","581","486","114","22","3","19","77","64","70","130","20","8","3","",".235",".352",".410",".762",".335","","-2.9","-0.2","","2.1","","275.4","11445"
"Marcell Ozuna","ATL","149","644","575","151","25","1","29","82","100","62","141","3","4","1","",".263",".336",".466",".802",".343","","0.5","0.0","","2.1","","193.4","10324"
"Mike Yastrzemski","SFG","133","574","507","122","28","4","23","72","71","54","145","8","4","2","",".241",".321",".448",".769",".328","","0.4","-0.2","","2.1","","286.5","14854"
"Lorenzo Cain","MIL","123","532","475","126","23","0","12","62","50","46","95","5","16","5","",".265",".335",".390",".725",".318","","4.1","1.1","","2.1","","416.9","9077"
"AJ Pollock","LAD","126","546","496","131","27","1","25","70","85","36","113","8","8","2","",".264",".320",".477",".797",".337","","-1.0","0.0","","2.0","","220.8","9256"
"Jorge Soler","","146","630","545","129","28","0","35","83","96","72","168","8","1","0","",".236",".331",".481",".813",".347","","-1.9","-1.6","","2.0","","197.4","14221"
