"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Fernando Tatis Jr.","SDP","151","651","566","163","32","2","48","118","119","73","161","6","31","8","",".289",".373",".606",".979",".406","","-2.0","3.9","","7.5","","1.8","19709"
"Trea Turner","LAD","154","665","605","179","33","4","27","103","87","48","116","6","30","7","",".296",".351",".496",".847",".360","","-2.6","3.9","","5.4","","1.5","16252"
"Carlos Correa","","147","637","555","154","32","1","28","90","96","70","122","5","1","0","",".276",".359",".488",".848",".361","","2.0","0.1","","5.3","","101.2","14162"
"Wander Franco","TBR","149","644","584","167","32","9","19","93","84","49","83","5","10","6","",".286",".344",".471",".815",".348","","1.8","-0.6","","5.1","","54.3","23667"
"Bo Bichette","TOR","152","658","604","175","35","2","29","103","98","43","123","5","21","5","",".291",".341",".500",".841",".358","","-1.3","1.8","","5.0","","5.2","19612"
"Corey Seager","TEX","136","588","520","151","33","3","25","88","87","56","97","5","4","1","",".291",".363",".509",".872",".370","","-3.2","0.4","","4.9","","77.8","13624"
"Marcus Semien","TEX","154","665","590","155","32","2","30","97","82","66","123","3","12","4","",".264",".339",".479",".817",".349","","4.2","1.1","","4.9","","37.3","12533"
"Francisco Lindor","NYM","152","658","582","150","30","3","29","93","87","62","114","6","15","6","",".257",".333",".465",".798",".339","","4.9","0.0","","4.8","","50.1","12916"
"Xander Bogaerts","BOS","154","665","587","165","39","1","26","91","95","68","122","4","7","2","",".281",".357",".488",".845",".360","","-4.7","0.6","","4.6","","45.1","12161"
"Trevor Story","","149","644","574","148","33","4","28","90","85","56","158","8","23","7","",".258",".331",".477",".808",".344","","1.5","1.8","","4.5","","38.3","12564"
"Ketel Marte","ARI","149","644","580","168","38","5","21","86","77","52","97","6","5","1","",".290",".351",".482",".834",".355","","-0.5","0.0","","3.8","","80.0","13613"
"Jorge Polanco","MIN","149","644","584","160","34","3","25","89","86","48","112","5","11","5","",".273",".331",".472",".804",".343","","-6.4","0.0","","3.6","","78.6","13152"
