Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	Turner, Trea	LAD	2B, SS	1.15	1	2		13		
2	Tatis Jr., Fernando	SD	SS, OF	2.46	1	4		13		
3	Ramirez, Jose	CLE	3B	3.23	2	5		13		
4	Bichette, Bo	TOR	SS	4.54	2	7		13		
5	Soto, Juan	WAS	OF	5.46	2	8		13		
6	Cole, Gerrit	NYY	P	5.54	2	8		13		
7	Guerrero Jr., Vladimir	TOR	1B	6.54	5	10		13		
8	Burnes, Corbin	MLW	P	8.38	5	12		13		
9	Acuna Jr., Ronald	ATL	OF	9.23	7	12		13		
10	Tucker, Kyle	HOU	OF	10.69	8	13		13		
11	Harper, Bryce	PHI	OF	11.00	9	15		13		
12	Ohtani, Shohei	LAA	P, UT	11.23	6	18		13		
13	Betts, Mookie	LAD	OF	15.85	13	22		13		
14	Robert, Luis	CWS	OF	15.85	12	23		13		
15	Albies, Ozzie	ATL	2B	16.46	10	22		13		
16	Woodruff, Brandon	MLW	P	17.77	14	23		13		
17	Scherzer, Max	NYM	P	17.85	11	26		13		
18	Buehler, Walker	LAD	P	18.08	10	25		13		
19	Devers, Rafael	BOS	3B	18.62	14	26		13		
20	Trout, Mike	LAA	OF	19.00	13	25		13		
21	Wheeler, Zack	PHI	P	20.08	14	25		13		
22	Freeman, Freddie	ATL	1B	22.77	15	29		13		
23	deGrom, Jacob	NYM	P	23.15	17	35		13		
24	Machado, Manny	SD	3B	23.46	17	30		13		
25	Marte, Starling	NYM	OF	25.00	14	35		13		
26	Hendriks, Liam	CWS	P	25.62	21	30		13		
27	Hader, Josh	MLW	P	26.92	21	31		13		
28	Bieber, Shane	CLE	P	30.62	26	38		13		
29	Merrifield, Whit	KC	2B, OF	31.85	20	40		13		
30	Anderson, Tim	CWS	SS	32.46	21	47		13		
31	Hernandez, Teoscar	TOR	OF	33.31	27	45		13		
32	Urias, Julio	LAD	P	33.38	26	44		13		
33	Alvarez, Yordan	HOU	OF	33.62	26	42		13		
34	Mullins, Cedric	BAL	OF	34.08	18	50		13		
35	Nola, Aaron	PHI	P	34.38	25	42		13		
36	Story, Trevor	COL	SS	34.46	24	41		13		
37	Iglesias, Raisel	LAA	P	36.00	26	47		13		
38	Alcantara, Sandy	MIA	P	37.31	27	49		13		
39	Perez, Salvador	KC	C	38.00	32	47		13		
40	Semien, Marcus	TEX	2B, SS	40.54	29	50		13		
41	Giolito, Lucas	CWS	P	41.38	31	51		13		
42	Clase, Emmanuel	CLE	P	43.54	36	51		13		
43	Judge, Aaron	NYY	OF	44.92	38	54		13		
44	Pressly, Ryan	HOU	P	46.85	31	56		13		
45	Peralta, Freddy	MLW	P	47.08	31	56		13		
46	Lindor, Francisco	NYM	SS	47.08	34	59		13		
47	Diaz, Edwin	NYM	P	48.08	41	58		13		
48	O'Neill, Tyler	STL	OF	48.23	36	59		13		
49	Bogaerts, Xander	BOS	SS	48.31	39	55		13		
50	Ray, Robbie	SEA	P	48.46	38	59		13		
51	Mondesi, Adalberto	KC	3B	50.31	36	61		13		
52	Sale, Chris	BOS	P	51.31	41	69		13		
53	Realmuto, J.T.	PHI	C	51.85	40	59		13		
54	Olson, Matt	OAK	1B	51.92	35	72		13		
55	Buxton, Byron	MIN	OF	52.46	34	62		13		
56	Arozarena, Randy	TB	OF	58.54	50	65		13		
57	Chapman, Aroldis	NYY	P	59.69	44	84		13		
58	Baez, Javier	DET	2B, SS	59.69	44	69		13		
59	Goldschmidt, Paul	STL	1B	61.00	47	71		13		
60	Alonso, Pete	NYM	1B	63.08	47	78		13		
61	Riley, Austin	ATL	3B	63.85	52	74		13		
62	Smith, Will	LAD	C	64.15	51	81		13		
63	Fried, Max	ATL	P	64.77	55	81		13		
64	Franco, Wander	TB	SS	64.77	49	73		13		
65	Webb, Logan	SF	P	66.38	49	81		13		
66	Castellanos, Nick	CIN	OF	67.08	57	75		13		
67	Smith, Will	ATL	P	67.15	49	83		13		
68	Jansen, Kenley	LAD	P	67.54	51	83		13		
69	Lynn, Lance	CWS	P	67.69	54	80		13		
70	Chisholm Jr., Jazz	MIA	2B, SS	70.54	56	85		13		
71	Cease, Dylan	CWS	P	70.92	57	85		13		
72	Musgrove, Joe	SD	P	71.77	58	79		13		
73	Romano, Jordan	TOR	P	72.46	52	99		13		
74	Gausman, Kevin	TOR	P	73.15	58	88		13		
75	Springer, George	TOR	OF	74.00	65	84		13		
76	Jimenez, Eloy	CWS	OF	74.77	62	95		13		
77	Lowe, Brandon	TB	2B	78.23	62	102		13		
78	Polanco, Jorge	MIN	2B, SS	78.38	65	88		13		
79	Berrios, Jose	TOR	P	79.23	63	89		13		
80	Flaherty, Jack	STL	P	79.46	60	96		13		
81	Edman, Tommy	STL	2B, OF	80.69	67	101		13		
82	Altuve, Jose	HOU	2B	81.62	62	93		13		
83	Arenado, Nolan	STL	3B	82.23	71	97		13		
84	Gallegos, Giovanny	STL	P	82.54	66	106		13		
85	Seager, Corey	TEX	SS	84.85	66	107		13		
86	Rogers, Trevor	MIA	P	84.85	73	94		13		
87	India, Jonathan	CIN	2B	84.92	76	94		13		
88	Montas, Frankie	OAK	P	85.85	75	95		13		
