"PlayerName","NFBC_ADP","playerid"
"Trea Turner",1.15,"16252"
"Fernando Tatis Jr.",2.46,"19709"
"Jose Ramirez",3.23,NA
"Bo Bichette",4.54,"19612"
"Juan Soto",5.46,"20123"
"Gerrit Cole",5.54,"13125"
"Vladimir Guerrero Jr.",6.54,"19611"
"Corbin Burnes",8.38,"19361"
"Ronald Acuna Jr.",9.23,NA
"Kyle Tucker",10.69,"18345"
"Bryce Harper",11,"11579"
"Shohei Ohtani",11.23,"19755"
"Shohei Ohtani",11.23,"19755"
"Mookie Betts",15.85,"13611"
"Luis Robert",15.85,"20043"
"Ozzie Albies",16.46,"16556"
"Brandon Woodruff",17.77,"16162"
"Max Scherzer",17.85,"3137"
"Walker Buehler",18.08,"19374"
"Rafael Devers",18.62,"17350"
"Mike Trout",19,"10155"
"Zack Wheeler",20.08,"10310"
"Freddie Freeman",22.77,"5361"
"Jacob deGrom",23.15,"10954"
"Manny Machado",23.46,"11493"
"Starling Marte",25,"9241"
"Liam Hendriks",25.62,"3548"
"Josh Hader",26.92,"14212"
"Shane Bieber",30.62,"19427"
"Whit Merrifield",31.85,"11281"
"Tim Anderson",32.46,"15172"
"Teoscar Hernandez",33.31,NA
"Julio Urias",33.38,NA
"Yordan Alvarez",33.62,"19556"
"Cedric Mullins",34.08,"17929"
"Cedric Mullins",34.08,"17929"
"Aaron Nola",34.38,"16149"
"Trevor Story",34.46,"12564"
"Raisel Iglesias",36,"17130"
"Sandy Alcantara",37.31,"18684"
"Salvador Perez",38,"7304"
"Marcus Semien",40.54,"12533"
"Lucas Giolito",41.38,"15474"
"Emmanuel Clase",43.54,"21032"
"Aaron Judge",44.92,"15640"
"Ryan Pressly",46.85,"7005"
"Freddy Peralta",47.08,"18679"
"Francisco Lindor",47.08,"12916"
"Francisco Lindor",47.08,"12916"
"Edwin Diaz",48.08,NA
"Tyler O'Neill",48.23,"15711"
"Xander Bogaerts",48.31,"12161"
"Robbie Ray",48.46,"11486"
"Adalberto Mondesi",50.31,"13769"
"Chris Sale",51.31,"10603"
"J.T. Realmuto",51.85,"11739"
"Matt Olson",51.92,"14344"
"Byron Buxton",52.46,"14161"
"Randy Arozarena",58.54,"19290"
"Aroldis Chapman",59.69,"10233"
"Javier Baez",59.69,NA
"Paul Goldschmidt",61,"9218"
"Pete Alonso",63.08,"19251"
"Austin Riley",63.85,"18360"
"Will Smith",64.15,NA
"Max Fried",64.77,"13743"
"Wander Franco",64.77,"23667"
"Logan Webb",66.38,"17995"
"Nick Castellanos",67.08,"11737"
"Nick Castellanos",67.08,"11737"
"Will Smith",67.15,NA
"Kenley Jansen",67.54,"3096"
"Lance Lynn",67.69,"2520"
"Jazz Chisholm Jr.",70.54,"20454"
"Jazz Chisholm Jr.",70.54,"20454"
"Dylan Cease",70.92,"18525"
"Joe Musgrove",71.77,"12970"
"Jordan Romano",72.46,"16122"
"Kevin Gausman",73.15,"14107"
"George Springer",74,"12856"
"Eloy Jimenez",74.77,NA
"Brandon Lowe",78.23,"18882"
"Jorge Polanco",78.38,"13152"
"Jose Berrios",79.23,NA
"Jack Flaherty",79.46,"17479"
"Tommy Edman",80.69,"19470"
"Jose Altuve",81.62,"5417"
"Nolan Arenado",82.23,"9777"
"Giovanny Gallegos",82.54,"14986"
"Corey Seager",84.85,"13624"
"Trevor Rogers",84.85,"22286"
"Jonathan India",84.92,"21523"
"Frankie Montas",85.85,"14309"
"Ketel Marte",87.08,"13613"
"Bobby Witt Jr.",91,"sa3011225"
"Jose Abreu",92.31,NA
"Luis Castillo",93.38,"15689"
"Yu Darvish",93.38,"13074"
"J.D. Martinez",93.54,"6184"
"Bryan Reynolds",94.85,"19326"
"Charlie Morton",95.31,"4676"
"Cody Bellinger",97.92,"15998"
"Alex Bregman",97.92,"17678"
"Justin Verlander",98.38,"8700"
"Alek Manoah",98.54,"26410"
"Daulton Varsho",100.38,"19918"
"Christian Yelich",100.92,"11477"
"Kris Bryant",105,"15429"
"Shane McClanahan",105.69,"21483"
"Carlos Correa",106.46,"14162"
"Blake Snell",109.08,"13543"
"Yasmani Grandal",109.23,"11368"
"Giancarlo Stanton",112.31,"4949"
"Jesse Winker",112.31,"13590"
"Craig Kimbrel",112.46,"6655"
"Myles Straw",113.62,"17620"
"Ryan Mountcastle",113.62,"18373"
"Anthony Rendon",115.15,"12861"
"Willson Contreras",116.08,"11609"
"Mark Melancon",116.77,"4264"
"Dansby Swanson",116.85,"18314"
"Nathan Eovaldi",118.92,"9132"
"DJ LeMahieu",121.15,"9874"
"Shane Baz",123.46,"22264"
"Trent Grisham",124.62,"18564"
"Willy Adames",125.31,"15986"
"Zac Gallen",126.38,"19291"
"Jared Walsh",126.62,"18607"
"Mitch Haniger",126.77,"14274"
"Jake Cronenworth",126.92,"18036"
"Josh Bell",128.54,"13145"
"C.J. Cron",129.31,"12546"
"Ke'Bryan Hayes",129.92,"18577"
"Tyler Mahle",130,"16358"
"Corey Knebel",130.46,"15010"
"Kyle Schwarber",130.85,"16478"
"Kyle Schwarber",130.85,"16478"
"Chris Bassitt",132.08,"12304"
"Sean Manaea",133.15,"15873"
"Chris Taylor",133.77,"13757"
"Franmil Reyes",136.77,"14566"
"Jarred Kelenic",137.31,"22558"
"Rhys Hoskins",137.46,"16472"
"Carlos Rodon",138.77,NA
"Akil Baddoo",139.85,"22168"
"Pablo Lopez",141.92,NA
"Lourdes Gurriel Jr.",142.54,"19238"
"Framber Valdez",142.92,"17295"
"Amed Rosario",143.38,"15518"
"Amed Rosario",143.38,"15518"
"Gleyber Torres",143.54,"16997"
"Luis Garcia",145.15,NA
"Blake Treinen",145.92,"12572"
"Logan Gilbert",146.08,"22250"
"Joey Votto",147,"4314"
"Scott Barlow",148.69,"14993"
"Camilo Doval",149.54,"21992"
"Ty France",150.62,"17982"
"Eduardo Rodriguez",150.77,"13164"
"Luis Urias",151.31,NA
"Yoan Moncada",156.62,NA
"Tyler Stephenson",158.38,"17988"
"Ian Anderson",158.46,"19951"
"Austin Meadows",160.15,"15672"
"Michael Kopech",161.23,"17282"
"Taylor Rogers",162.77,"13449"
"Keibert Ruiz",163.54,"19610"
"Alex Verdugo",163.69,"17027"
