"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"1","David Fletcher","LAA","2b",2.53631390231141,8.58910199741129,13.1043441717674,""
"2","Jorge Alfaro","SDP","catcher",-0.602297245931338,7.96035006812457,12.145060921607,""
"3","Miguel Rojas","MIA","ss",2.16907025214796,7.34544948015747,11.2069105842875,""
"4","Kyle Finnegan","WSN","pitcher",4.15,6.98,10.6493463864446,""
"5","Didi Gregorius","PHI","ss",1.79953067321002,6.09402191329128,9.29761464773966,""
"6","Pierce Johnson","SDP","pitcher",3.38,5.57,8.49811738860982,""
"7","Brady Singer","KCR","pitcher",3.17,5.19,7.91835354522172,""
"8","Christian Walker","ARI","1b",1.46030668163793,4.94525658857087,7.54494991139522,""
"9","Paul DeJong","STL","ss",1.45742581674448,4.93550068162731,7.53006537953907,""
"10","Michael Pineda",NA,"pitcher",2.95,4.8,7.32333275858656,""
"11","Nick Martínez",NA,"pitcher",2.9,4.7,7.17076332611601,""
"12","Pete Fairbanks","TBR","pitcher",2.7,4.34,6.62151336922202,""
"13","Yandy Díaz","TBR","1b, 3b",1.23861731374105,4.19451647281758,6.39954997746165,""
"14","Victor Robles","WSN","of",1.17810841420363,3.98960606744373,6.08691933490966,""
"15","Seth Brown","OAK","of",1.12475765966744,3.80893636724114,5.81127259866432,""
"16","Miles Mikolas","STL","pitcher",2.4,3.79,5.78238149063397,""
"17","Merrill Kelly","ARI","pitcher",2.32,3.64,5.55352734192814,""
"18","JT Brubaker","PIT","pitcher",2.29,3.58,5.46198568244581,""
"19","Tyler Anderson",NA,"pitcher",2.23,3.48,5.30941624997526,""
"20","Willie Calhoun","TEX","dh, of",1.01192036779792,3.42681844086946,5.22827744703079,""
"21","Nestor Cortes","NYY","pitcher",2.12,3.27,4.98902044178709,""
"22","Anthony Bender","MIA","pitcher",2.11,3.26,4.97376349854004,""
"23","Carlos Santana","KCR","1b",0.94560440250874,3.20224269359839,4.88564350395283,""
"24","Gavin Sheets","CHW","dh, of",0.916364044334466,3.1032216621043,4.7345676781758,""
"25","Carlos Estévez","COL","pitcher",1.96,2.97,4.53131214437543,""
"26","Madison Bumgarner","ARI","pitcher",1.93,2.93,4.47028437138721,""
"27","Jake Meyers","HOU","of",0.842755219731839,2.85394900628463,4.35425380188745,""
"28","Brad Keller","KCR","pitcher",1.89,2.85,4.34822882541077,""
"29","Wade Miley","CHC","pitcher",1.88,2.83,4.31771493891666,""
"30","Josh Harrison",NA,"2b",0.832894328959112,2.82055558579551,4.3033056497647,""
"31","Domingo Germán","NYY","pitcher",1.85,2.78,4.24143022268138,""
"32","Drew Steckenrider","SEA","pitcher",1.82,2.73,4.16514550644611,""
"33","José Quintana","PIT","pitcher",1.78,2.65,4.04308996046966,""
"34","Nico Hoerner","CHC","2b, ss",0.738510931309566,2.50093086247739,3.81565602336267,""
"35","Luke Weaver","ARI","pitcher",1.68,2.48,3.78372192526972,""
"36","Yadiel Hernandez","WSN","of",0.707927015072527,2.39735993783718,3.65763845143459,""
"37","Michael Fulmer","DET","pitcher",1.62,2.36,3.60063860630506,""
"38","Matt Vierling","PHI","1b, of",0.681040112285024,2.30630876699201,3.51872219681832,""
"39","Héctor Neris","HOU","pitcher",1.56,2.25,3.43281223058745,""
"40","Juniel Querecuto",NA,"ss",0.652792628110089,2.21065005435093,3.37277624183319,""
"41","Luis Garcia (2B)","WSN","2b",0.64180078728421,2.1734267272593,3.31598482294284,""
