"","player","team","error"
"1","Julio Rodriguez","pasadena","not matched"
"2","Corbin Carroll","pasadena","not matched"
"3","Robert Hassell","pasadena","not matched"
"4","Brett Baty","evilempire","not matched"
"5","Nick Gonzales","evilempire","not matched"
"6","Josh Jung","isotopes","not matched"
"7","Vidal Brujan","deano","not matched"
"8","Triston Casas","deano","not matched"
"9","Zac Veen","deano","not matched"
"10","Marcelo Mayer","bears","not matched"
"11","Francisco Alvarez","bookhouse","not matched"
"12","Nolan Gorman","bellevegas","not matched"
"13","Jordan Walker","bellevegas","not matched"
"14","Nick Pratto","balco","not matched"
"15","Jasson Dominguez","balco","not matched"
"16","Nolan Jones","ottawa","not matched"
"17","Henry Davis","sturgeon","not matched"
"18","Wilman Diaz","stircrazy","not matched"
"19","Jack Leiter","pkdodgers","not matched"
"20","Elijah Green","marmaduke","not matched"
"21","Jordan Lawlar","marmaduke","not matched"
"22","Heston Kjerstad","deener","not matched"
"23","Kevin Kopps","deener","not matched"
"24","Spencer Torkelson","hebrewhammer","not matched"
"25","Diego Cartaya","pkdodgers","not matched"
"26","Jesus Luzardo","deener","not matched"
"27","Tyler Glasnow","stircrazy","not matched"
"28","Yandy Diaz","dumpsterfire","not matched"
"29","Francisco Mejia","dumpsterfire","not matched"
"30","Jeremy Pena","ottawa","not matched"
"31","Martin Maldonado","isotopes","not matched"
"32","Odubel Herrera","stircrazy","not matched"
"33","Nestor Cortes Jr.","isotopes","not matched"
"34","Robinson Cano","bellevegas","not matched"
