"playerid","NFBC_ADP"
"11467",NA
"18655",746.15
"9256",NA
"19343",577.46
"16258",665.85
"19479",280.23
"22052",NA
"5297",494.38
"15640",44.92
"10343",681.77
"16149",34.38
"11490",NA
"15231",NA
"5486",NA
"19844",259
"13769",50.31
"15288",NA
"10950",236.62
"11205",NA
"15082",620
"15223",324.15
"19878",745.92
"10843",NA
"1247",721.23
"15846",NA
"2233",216.62
"9029",NA
"17859",345.31
"10459",NA
"sa3011643",207.62
"19287",180.62
"19903",NA
"12718",403.85
"20039",749.54
"11338",NA
"9256",211.46
"sa917953",139.85
"17485",NA
"14109",NA
"1177",743
"sa873670",NA
"21618",294.38
"13834",680.92
"15937",539.77
"22581",232.38
"NA",98.54
"7476",NA
"16271",NA
"17678",97.92
"12890",NA
"6562",228.23
"6661",445.31
"sa919320",NA
"12649",720
"NA",NA
"17276",747.08
"sa917929",196
"15015",359.54
"17027",163.69
"25007",688.54
"13781",216.23
"18333",NA
"sa920272",NA
"sa922180",NA
"18551",NA
"15518",143.38
"15518",143.38
"14375",696.08
"19909",NA
"sa829605",NA
"20329",NA
"10847",668
"19950",247
"19950",247
"20373",603.23
"17901",178.77
"8782",NA
"12988",700.69
"15423",280.31
"12828",259.38
"14942",NA
"19514",690
"9847",340.08
"6785",NA
"17932",NA
"18300",NA
"13132",NA
"13533",NA
"NA",257.08
"14196",NA
"19521",NA
"17759",NA
"sa917908",NA
"3284",NA
"14329",515.31
"14706",NA
"7982",741
"13854",NA
"19789",NA
"13050",220.38
"5097",NA
"20387",NA
"18152",NA
"12861",115.15
"3473",184.85
"14551",267.69
"20383",NA
"15488",608.54
"16925",NA
"12918",750.38
"15482",661.38
"5498",NA
"10233",59.69
"18251",470.38
"4962",735.77
"NA",NA
"15139",NA
"13801",730.46
"18083",701.23
"12158",648.62
"17237",NA
"17117",NA
"18288",NA
"16561",556.38
"19363",227.85
"12976",617.23
"sa3004170",NA
"NA",718.15
"15672",160.15
"15941",350.15
"15290",NA
"18360",63.85
"5491",NA
"16153",580.77
"15047",NA
"15271",NA
"5760",164.23
"18873",NA
"12384",NA
"sa873701",NA
"20175",NA
"12160",575.15
"15100",NA
"19561",NA
"10199",NA
"15654",NA
"20344",NA
"5224",NA
"sa917932",NA
"13543",109.08
"16418",NA
"12572",145.92
"19612",4.54
"17278",432.15
"19966",224.69
"14832",NA
"NA",91
"10133",522.46
"6627",NA
"9111",501.85
"15734",586.46
"12775",553.54
"5401",NA
"16390",750.08
"17806",NA
"16221",429
"25377",390.23
"21896",NA
"19582",NA
"10264",220.69
"19866",746.38
"13527",NA
"5343",209.69
"11615",NA
"9939",NA
"18882",78.23
"NA",323.46
"9346",NA
"12927",284.77
"9856",NA
"18347",NA
"16162",17.77
"11428",NA
"21844",749.69
"sa829486",NA
"20186",NA
"17907",174.15
"NA",569.62
"sa828706",682.46
"19627",696.54
"13942",646.62
"8223",746.92
"sa3006813",NA
"9927",NA
"17369",NA
"14735",635.85
"NA",NA
"12758",NA
"18289",375.15
"9810",NA
"12858",NA
"sa918377",NA
"16729",NA
"9345",NA
"21189",NA
"10061",721.15
"20370",698.46
"20367",637.31
"16609",NA
"19457",NA
"11287",NA
"sa917784",NA
"19326",94.85
"11579",11
"19990",701.08
"13356",NA
"14814",NA
"9492",NA
"12784",NA
"9166",NA
"14161",52.46
"sa873984",NA
"12546",129.31
"19312",277.54
"sa3008377",565.92
"19231",NA
"7087",NA
"14875",636.69
"10078",749.23
"13360",NA
"12981",NA
"16840",NA
"5223",NA
"sa916835",149.54
"6632",284.77
"14162",106.46
"14542",401.62
"22713",377.15
"11682",742.23
"16137",138.77
"16634",NA
"2396",455.85
"18311",NA
"13620",281.08
"19958",493.08
"20492",276.85
"11209",741
"19252",286
"17929",34.08
"17929",NA
"10556",316.23
"7216",NA
"9013",NA
"15552",388.08
"14975",NA
"15191",548.62
"17470",NA
"16953",NA
"17161",NA
"NA",NA
"15694",NA
"7859",238.77
"3298",749.15
"4676",95.31
"sa3004174",393.31
"6895",NA
"10855",NA
"9866",NA
"14663",NA
"6345",735.31
"12304",132.08
"9272",NA
"12763",NA
"13896",392.23
"9284",NA
"11847",NA
"14151",NA
"10030",749.54
"20099",374.38
"NA",NA
"10603",51.31
"17738",NA
"13761",462.69
"13757",133.77
"16434",655.54
"10028",NA
"9774",228
"13419",425.54
"11477",100.92
"17714",NA
"19614",NA
"19899",707.08
"13649",717.85
"2036",178.23
"15983",395.54
"23293",506.92
"12183",NA
"15998",97.92
"17920",NA
"15232",NA
"18088",NA
"4972",NA
"19244",549.85
"15256",446.15
"17326",617.69
"16909",639.23
"12317",NA
"7531",555.15
"12997",NA
"NA",647.85
"19199",NA
"21205",742.38
"NA",325.69
"sa829464",NA
"sa873978",NA
"19361",8.38
"19884",717.38
"10762",652.15
"2429",354.77
"15010",130.46
"13677",NA
"sa738510",NA
"13624",84.85
"sa3005305",NA
"6655",112.46
"7274",738.08
"17606",322
"19948",637.92
"12510",628.77
"12510",628.77
"17766",NA
"14545",NA
"sa875017",NA
"NA",399.38
"9434",592.08
"sa3004862",NA
"16507",NA
"7385",NA
"NA",598.15
"12237",NA
"19409",378.23
"7115",616.85
"19805",NA
"7146",582.38
"19643",NA
"19643",NA
"NA",538.23
"4316",NA
"13475",NA
"16110",737.31
"14145",NA
"14130",725.38
"17811",NA
"3542",627.62
"16535",302.23
"18889",NA
"10322",NA
"18314",116.85
"21170",NA
"9929",405.69
"3321",NA
"19848",NA
"19345",647.15
"19918",100.38
"19569",166.62
"14593",702.92
"13744",696.31
"17992",337
"9756",NA
"16130",NA
"2136",479.77
"20302",569
"6316",NA
"3184",587.85
"8241",746.54
"18353",680.23
"19350",NA
"sa3004203",NA
"8203",NA
"NA",NA
"20276",695.92
"15988",NA
"11379",NA
"6216",NA
"21087",721.62
"17878",NA
"14509",NA
"10542",NA
"16192",NA
"16947",750.46
"13133",NA
"19487",NA
"15816",293.62
"4062",NA
"6012",428.85
"17496",378.46
"17496",743.46
"14672",NA
"18790",708.62
"17796",742.38
"17186",397.31
"9874",121.15
"sa829712",NA
"17766",729.62
"15055",603
"17149",391
"16404",NA
"NA",NA
"12178",NA
"13763",750.31
"15653",360.08
"19314",NA
"8623",705.38
"3411",NA
"11426",661.15
"25385",273.46
"17755",NA
"11760",601.69
"sa3004378",728.38
"14677",NA
"sa3007959",NA
"17098",NA
"9433",NA
"19716",686.92
"15189",NA
"13473",NA
"12917",427.54
