team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
pasadena,C1,Willson Contreras,15,453,67.291831463793,22.29597624948747,68.12359566076897,4.725635927863594,0.2435,NA,NA,NA,NA,NA,NA,2.857542741904529,19.676927627062607
pasadena,C2,,0,260,28,9,30,1,0.223,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,1B,,0,400,51,13.25,51,3.3,0.2365,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,2B,Gavin Lux,6,413.75,61.21747389811582,13.737174689927988,56.52301429216312,5.772070847561265,0.25525,NA,NA,NA,NA,NA,NA,1.7453530382439706,5.910552023275768
pasadena,SS,Tim Anderson,22,595.4,91.81376060415126,19.809219587952974,68.58343019526018,19.258563380660465,0.28919999999999996,NA,NA,NA,NA,NA,NA,7.522945903225431,25.476085442312563
pasadena,3B,Anthony Rendon,18,470,74.4358809412498,20.384803054386786,77.86478055165966,1.8302055165965407,0.2696,NA,NA,NA,NA,NA,NA,3.772914691926333,12.776789610684425
pasadena,CI,Ke'Bryan Hayes,16,522,71.23236352438417,13.704252035719033,58.8991822670145,10.81042547088421,0.2604,NA,NA,NA,NA,NA,NA,3.248281078171961,11.000143740589154
pasadena,MI,Andrés Giménez,6,402.8,52.618358798970945,12.365032292408051,46.59063397448079,17.192271623226176,0.2454,NA,NA,NA,NA,NA,NA,2.3603847046858255,7.993326442440837
pasadena,OF1,Andrew Vaughn,6,451,61.769744717118094,20.012188966028432,61.53437676749276,1.514564071719963,0.25275000000000003,NA,NA,NA,NA,NA,NA,1.8846149391064617,6.382155585347185
pasadena,OF2,Kyle Lewis,6,456,58.94640223236678,18.719960525138237,59.744747607561706,4.751453579945275,0.241,NA,NA,NA,NA,NA,NA,1.6870927999407654,5.713256598319225
pasadena,OF3,Luis Robert,6,523,81.66040456344017,26.48427087700334,80.69143735618748,16.807114929460234,0.2828,NA,NA,NA,NA,NA,NA,7.757985030029681,26.272033858502066
pasadena,OF4,Austin Meadows,16,522,78.00707696196133,27.006015417667133,87.54516618223177,6.999064830026539,0.24875,NA,NA,NA,NA,NA,NA,5.204234608141665,17.623883947113388
pasadena,OF5,Mookie Betts,39,559,109.69427405724517,30.502784407773973,86.71972135899014,15.309301907754312,0.28175,NA,NA,NA,NA,NA,NA,9.293236557490886,31.47108747289445
pasadena,OF6,Brandon Nimmo,8,432.25,71.06286505173982,13.236858232183009,47.86269606947175,7.395430448586268,0.259,NA,NA,NA,NA,NA,NA,2.0944314598650107,7.092688889562727
pasadena,DH,,0,400,51,13.25,51,3.3,0.2365,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,P1,Casey Mize,6,NA,NA,NA,NA,NA,NA,159,4.44,1.31,0,8,129,3.16,5.180000000000002
pasadena,P2,Giovanny Gallegos,11,NA,NA,NA,NA,NA,NA,69.5,3.48,1.11,25,4,82,7.12,12.400000000000002
pasadena,P3,Scott Barlow,6,NA,NA,NA,NA,NA,NA,67,3.67,1.27,24,4,79,5.85,10.090000000000002
pasadena,P4,Zac Gallen,13,NA,NA,NA,NA,NA,NA,169.5,4.2,1.29,0,10,181,6.12,10.580000000000002
pasadena,P5,Blake Snell,18,NA,NA,NA,NA,NA,NA,148.5,3.77,1.26,0,10,180,6.85,11.920000000000002
pasadena,P6,John Means,9,NA,NA,NA,NA,NA,NA,163.5,4.25,1.19,0,10,149,6.14,10.620000000000003
pasadena,P7,José Urquidy,8,NA,NA,NA,NA,NA,NA,133,4.46,1.22,0,8,117,3.41,5.630000000000003
pasadena,P8,Corey Kluber,4,NA,NA,NA,NA,NA,NA,135,4.15,1.29,0,8,130,3.63,6.030000000000002
pasadena,P9,Chris Paddack,4,NA,NA,NA,NA,NA,NA,82,4.14,1.2,0,5,79,1,1.2299999999999995
pasadena,P10,,0,NA,NA,NA,NA,NA,NA,73,4.75,1.368,0.42,4.8,94.7,NA,NA
pasadena,B1,Joey Bart,3,311,36.439333280482,8.634501347708895,35.826274774060565,1.4041089265895037,0.234,NA,NA,NA,NA,NA,NA,-2.1465047548392246,2.730967464066375
pasadena,B2,Julio Rodriguez,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B3,Corbin Carroll,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B4,Robert Hassell,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B5,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B6,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
