Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status,auction_value,NFBC_ADP,salary
Gerrit Cole,NYY,pitcher,13125,195.5,3.17,1.04,0,15,259,15.93,28.50999999999999,drafted,43.497545197354746,5.54,38
Max Scherzer,NYM,pitcher,3137,181.5,3.29,1.05,0,13,233,13.58,24.20999999999999,drafted,36.93705960112095,17.85,37
Jacob deGrom,NYM,pitcher,10954,148,2.48,0.93,0,11,213,13.57,24.199999999999992,drafted,36.9218026578739,23.15,32
Corbin Burnes,MIL,pitcher,19361,172,3.11,1.07,0,12,221,12.63,22.47999999999999,drafted,34.297608419380374,8.38,6
Shane Bieber,CLE,pitcher,19427,181.5,3.3,1.11,0,12,224,12.21,21.70999999999999,drafted,33.12282378935711,30.62,22
Zack Wheeler,PHI,pitcher,10310,202.5,3.49,1.14,0,13,208,11.95,21.22999999999999,drafted,32.39049051349846,20.08,28
Robbie Ray,SEA,pitcher,11486,187.5,3.62,1.15,0,12,244,11.83,21.00999999999999,drafted,32.054837762063244,48.46,15
Brandon Woodruff,MIL,pitcher,16162,181,3.48,1.13,0,12,205,11.03,19.55999999999999,drafted,29.842580991240222,17.77,15
Walker Buehler,LAD,pitcher,19374,193.5,3.79,1.17,0,13,201,10.45,18.48999999999999,drafted,28.2100880638053,18.08,20
Aaron Nola,PHI,pitcher,16149,186.5,3.76,1.16,0,12,211,10.42,18.43999999999999,drafted,28.133803347570023,34.38,36
Liam Hendriks,CHW,pitcher,3548,68,2.8,0.95,30,5,100,10.32,18.249999999999993,drafted,27.843921425875976,25.62,29
Justin Verlander,NA,pitcher,8700,157.5,3.61,1.07,0,12,188,10.25,18.129999999999992,drafted,27.66083810691131,NA,12
Josh Hader,MIL,pitcher,14212,66,2.7,1,31,4,107,10.16,17.95999999999999,drafted,27.401470071711366,26.92,17
Kevin Gausman,TOR,pitcher,14107,183,3.81,1.17,0,13,200,10.13,17.89999999999999,drafted,27.309928412229034,73.15,8
Lucas Giolito,CHW,pitcher,15474,180.5,3.82,1.17,0,12,208,9.94,17.569999999999993,drafted,26.806449285076212,41.38,19
José Berríos,TOR,pitcher,14168,193,3.9,1.21,0,13,198,9.59,16.91999999999999,drafted,25.814747974017614,79.23,22
Raisel Iglesias,LAA,pitcher,17130,66.5,3.16,1.06,32,5,88,9.58,16.909999999999993,drafted,25.79949103077056,36,26
Sandy Alcantara,MIA,pitcher,18684,195.5,3.69,1.21,0,12,188,9.46,16.679999999999993,drafted,25.448581336088285,37.31,30
Joe Musgrove,SDP,pitcher,12970,178.5,3.75,1.18,0,12,190,9.38,16.539999999999992,drafted,25.23498413062951,71.77,17
Edwin Díaz,NYM,pitcher,14710,66.5,3.14,1.1,32,4,96,9.31,16.409999999999993,drafted,25.036643868417794,48.08,27
Frankie Montas,OAK,pitcher,14309,177.5,3.65,1.2,0,12,189,9.28,16.359999999999992,drafted,24.960359152182516,85.85,10
Chris Sale,BOS,pitcher,10603,152.5,3.55,1.13,0,11,188,9.22,16.249999999999993,drafted,24.792532776464906,51.31,24
Aroldis Chapman,NYY,pitcher,10233,62.5,2.98,1.18,32,4,98,8.99,15.829999999999995,drafted,24.151741160088587,59.69,24
Charlie Morton,ATL,pitcher,4676,164,3.62,1.19,0,12,182,8.93,15.709999999999996,drafted,23.968657841123925,95.31,26
Max Fried,ATL,pitcher,13743,180.5,3.62,1.23,0,13,173,8.91,15.689999999999998,drafted,23.938143954629815,64.77,18
Lance Lynn,CHW,pitcher,2520,181,3.91,1.21,0,12,194,8.87,15.61,drafted,23.816088408653375,67.69,10
Ryan Pressly,HOU,pitcher,7005,64.5,3.03,1.11,32,4,77,8.72,15.330000000000002,drafted,23.38889399773583,46.85,8
Eduardo Rodriguez,DET,pitcher,13164,181.5,3.76,1.25,0,12,190,8.57,15.050000000000002,drafted,22.961699586818284,150.77,16
Sean Manaea,OAK,pitcher,15873,172,3.69,1.17,0,11,171,8.56,15.050000000000002,drafted,22.961699586818284,133.15,14
Emmanuel Clase,CLE,pitcher,21032,66.5,2.74,1.12,30,4,78,8.53,14.990000000000002,drafted,22.87015792733595,43.54,6
Yu Darvish,SDP,pitcher,13074,168,4.01,1.17,0,11,188,8.37,14.700000000000003,drafted,22.427706573171346,93.38,19
Logan Webb,SFG,pitcher,17995,175,3.51,1.23,0,11,170,8.24,14.450000000000003,drafted,22.046282991994964,66.38,13
Luis Castillo,CIN,pitcher,15689,189,3.95,1.3,0,13,196,8.19,14.360000000000003,drafted,21.908970502771464,93.38,22
Julio Urías,LAD,pitcher,14765,167.5,3.87,1.19,0,12,168,8.14,14.280000000000003,drafted,21.786914956795023,33.38,17
Nathan Eovaldi,BOS,pitcher,9132,173,3.89,1.2,0,11,177,8.03,14.070000000000002,drafted,21.46651914860686,118.92,9
Jack Flaherty,STL,pitcher,17479,164,3.82,1.2,0,11,175,7.91,13.850000000000001,drafted,21.13086639717164,79.46,16
