Name,position,dollar_value,ADP,model_adp
Patrick Corbin,pitcher,9.5,407.83,245.41784626090433
Manuel Margot,of,9.5,371.88,244.72229830962024
Tommy Pham,of,15.1,269.15,143.5756229648819
Rowan Wick,pitcher,9.5,357.54,245.21800332837273
Kyle Gibson,pitcher,8.7,366.54,261.42323976350474
Miguel Sano,"1b, 3b",13.5,267.97,171.76756795914542
Tyler Naquin,of,9,350.55,255.0738699174462
Max Kepler,of,12.5,279.03,187.81134410030552
Taijuan Walker,pitcher,8.4,357.44,268.4813748652878
Miguel Rojas,ss,8.1,357.45,274.3109499857899
Andrew McCutchen,of,8.9,339.03,257.1566199414469
Carlos Carrasco,pitcher,10,310.78,234.31474553449794
Wil Myers,of,11.6,279.88,204.0613563702016
Brandon Nimmo,of,10.3,294.84,230.01066856472931
Anthony Santander,of,12.8,247.87,183.62033270027854
Bobby Dalbec,1b,13.6,232.38,168.45643756302064
Austin Hays,of,15,209.01,146.04965620127112
Marcell Ozuna,of,13.7,230.49,167.7112138374643
Yusei Kikuchi,pitcher,8.1,335.87,273.31313506154453
Jean Segura,"2b, ss",14.9,209.99,147.6892727276211
Lucas Sims,pitcher,10.9,271.55,217.28077657809828
Ramon Laureano,of,13.4,226.1,173.4313048982011
Andrew Heaney,pitcher,8.4,318.74,267.8544942927127
A.J. Pollock,of,13.5,221.06,171.03284152020933
Trey Mancini,"1b, dh, of",15.6,184.88,135.8584734065132
Rafael Ortega,of,8.3,314.16,270.04348851092635
Andrew Kittredge,pitcher,8.8,299.35,258.75206588827183
Alex Cobb,pitcher,9.4,284.43,247.01851888846167
Steven Matz,pitcher,10.3,264.79,229.81052928455898
Harrison Bader,of,11.8,234.42,201.67637354965868
Mike Yastrzemski,of,9.6,274.44,242.74827010708475
Kolten Wong,2b,13.5,197.41,170.27413816499384
Eddie Rosario,of,15.2,162.38,142.3309131857187
Elias Diaz,catcher,9.3,266.45,249.01666284676116
Gary Sanchez,catcher,9.4,256.89,246.64373373145577
Garrett Hampson,"2b, of",8.3,279.94,270.3560469707471
Jonathan Villar,"2b, ss",8.1,277.43,273.08041968976926
