"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Marcus Semien","TEX","150","681","599","154","31","2","30","96","84","68","126","4","11","4","",".258",".336",".467",".802",".344","119","","1.2","2.8","","17.4","4.6","4.5","","37.3","12533"
"Jose Altuve","HOU","147","681","603","170","32","1","26","101","79","63","97","5","8","3","",".282",".353",".471",".824",".353","127","","0.8","-4.1","","23.5","-1.7","4.5","","72.9","5417"
"Brandon Lowe","TBR","143","626","543","132","28","1","32","87","86","66","167","9","6","2","",".244",".333",".479",".812",".345","125","","1.2","-1.7","","20.4","0.0","4.2","","73.9","18882"
"Ozzie Albies","ATL","150","673","611","165","36","5","28","96","91","49","118","5","18","6","",".270",".327",".483",".809",".343","112","","2.4","3.1","","12.5","5.6","4.0","","18.9","16556"
"Ketel Marte","ARI","149","667","595","172","40","3","23","94","83","56","98","7","5","2","",".289",".355",".480",".835",".356","120","","-0.2","-2.0","","17.1","-0.8","3.8","","80.0","13613"
"Gleyber Torres","NYY","150","632","556","149","28","1","23","81","82","64","118","4","14","6","",".268",".346",".445",".791",".341","117","","-0.4","-2.2","","13.1","1.1","3.6","","151.0","16997"
"DJ LeMahieu","NYY","150","690","611","174","29","2","17","95","68","63","95","5","6","2","",".285",".354",".421",".775",".337","115","","-0.4","1.4","","11.9","-0.8","3.5","","111.0","9874"
"Jonathan India","CIN","149","679","579","149","32","2","23","96","71","73","147","16","12","4","",".257",".354",".437",".791",".344","110","","-0.2","0.9","","8.0","3.4","3.4","","90.6","21523"
"Max Muncy","LAD","131","569","470","117","21","1","30","84","87","86","123","8","2","1","",".249",".372",".492",".863",".369","133","","-0.2","2.1","","24.0","-9.4","3.3","","146.2","13301"
"Jake Cronenworth","SDP","147","644","571","154","32","5","17","78","79","58","97","9","7","3","",".269",".343",".431",".775",".333","111","","-0.3","2.1","","8.9","1.8","3.2","","120.5","18036"
"Jorge Polanco","MIN","149","654","590","157","34","2","24","85","83","50","114","6","11","5","",".267",".328",".454",".782",".335","113","","0.5","-9.7","","10.7","-2.5","3.0","","78.6","13152"
"Luis Arraez","MIN","144","627","558","167","30","5","6","77","57","56","62","4","5","2","",".299",".364",".403",".766",".335","112","","0.2","-2.4","","9.7","-1.0","3.0","","318.2","18568"
"Enrique Hernández","BOS","149","661","579","142","34","3","25","90","75","62","127","9","3","1","",".246",".326",".441",".767",".330","105","","0.6","-2.1","","4.5","0.5","2.7","","220.2","10472"
"Kolten Wong","MIL","136","628","557","147","32","3","14","83","59","48","104","13","16","5","",".264",".334",".409",".743",".323","100","","1.3","1.7","","1.0","3.9","2.6","","194.0","12532"
"Whit Merrifield","KCR","149","689","629","174","37","3","14","90","62","43","103","6","29","8","",".277",".327",".409",".736",".318","99","","2.5","-1.4","","1.9","-0.3","2.5","","30.9","11281"
"Jean Segura","PHI","139","634","573","160","30","3","15","81","64","43","92","8","9","3","",".280",".337",".420",".757",".327","102","","0.8","-1.1","","2.5","1.3","2.5","","201.6","5933"
