"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yasmani Grandal","CHW","127","536","433","102","18","1","26","74","72","92","128","5","1","1","",".236",".373",".461",".834",".362","132","","-3.1","-1.4","","17.8","5.2","4.5","","97.4","11368"
"J.T. Realmuto","PHI","139","602","536","135","27","3","23","74","81","51","140","10","10","4","",".251",".325",".438",".763",".327","102","","1.6","3.5","","3.2","8.8","3.9","","51.4","11739"
"Will Smith","LAD","119","499","428","106","20","2","26","69","75","56","104","10","2","1","",".248",".345",".482",".827",".352","122","","-1.2","0.1","","13.0","4.8","3.4","","61.1","19197"
"Sean Murphy","OAK","108","431","377","86","19","1","17","49","52","41","106","7","1","1","",".227",".312",".419",".731",".317","104","","-0.5","0.4","","1.7","6.5","3.0","","238.1","19352"
"Salvador Perez","KCR","141","617","575","150","26","1","37","81","102","27","151","10","1","1","",".260",".302",".504",".807",".338","113","","-1.6","5.6","","8.1","11.1","2.6","","33.3","7304"
"Max Stassi","LAA","98","398","352","79","14","1","15","44","48","35","117","6","1","1","",".223",".302",".393",".694",".302","90","","-1.1","-2.7","","-6.0","5.4","2.6","","294.6","10059"
"Jacob Stallings","MIA","101","392","347","86","18","1","8","42","39","36","84","4","2","1","",".247",".321",".374",".695",".305","93","","-0.8","0.3","","-4.2","8.7","2.5","","379.2","13723"
"Adley Rutschman","BAL","95","386","339","88","16","2","14","47","47","38","65","4","3","1","",".258",".338",".439",".777",".335","111","","-0.3","0.0","","4.8","7.0","2.5","","185.8","sa3011643"
"Keibert Ruiz","WSN","118","484","441","119","22","1","21","59","67","33","54","5","2","1","",".271",".326",".465",".791",".338","109","","-0.6","-0.2","","4.9","2.5","2.3","","141.5","19610"
"Danny Jansen","TOR","94","361","317","76","16","1","16","47","48","35","73","4","2","1","",".239",".320",".444",".764",".329","105","","-0.5","0.5","","1.5","7.0","2.3","","357.0","16535"
"Tyler Stephenson","CIN","104","429","378","100","21","1","13","50","50","41","81","6","1","1","",".264",".342",".424",".766",".333","102","","-0.7","-0.2","","0.6","7.9","2.2","","136.7","17988"
"Mike Zunino","TBR","80","312","278","57","10","1","17","38","43","24","109","5","1","0","",".203",".276",".436",".712",".304","97","","-0.6","0.2","","-1.8","6.8","2.1","","240.2","13265"
"Mitch Garver","MIN","95","399","347","81","18","1","17","50","51","42","115","5","2","1","",".232",".322",".433",".755",".326","107","","-0.6","-1.5","","2.6","5.0","2.1","","183.9","15161"
"Carson Kelly","ARI","97","402","349","84","16","1","14","48","49","44","84","5","1","1","",".240",".330",".417",".747",".323","99","","-0.5","-0.8","","-0.8","6.6","2.0","","267.0","13620"
"Jonah Heim","TEX","74","294","268","66","13","1","9","32","34","19","55","2","4","1","",".245",".298",".399",".697",".301","90","","-0.3","0.6","","-3.7","6.7","2.0","","455.9","16930"
"Daulton Varsho","ARI","102","412","367","93","19","3","16","51","54","35","81","4","7","3","",".254",".323",".451",".775",".330","104","","0.5","0.7","","2.4","5.0","2.0","","95.4","19918"
"Alejandro Kirk","TOR","84","334","297","83","18","1","15","45","48","29","47","4","2","1","",".281",".350",".494",".844",".360","126","","-0.5","-0.5","","10.2","-0.9","2.0","","234.1","22581"
"Willson Contreras","CHC","134","590","510","121","25","1","24","73","75","59","157","16","6","3","",".238",".333",".429",".762",".331","105","","-1.8","-0.1","","1.8","2.0","2.0","","109.0","11609"
"Omar Narváez","MIL","97","394","344","86","15","0","11","43","43","40","80","5","1","0","",".249",".334",".389",".722",".316","95","","-1.0","-1.7","","-3.5","4.5","1.8","","247.4","13338"
"Travis d'Arnaud","ATL","133","547","492","122","25","1","19","62","66","44","125","5","2","1","",".248",".315",".419",".734",".317","95","","-1.3","-1.8","","-4.7","-0.1","1.8","","207.6","7739"
"Roberto Pérez","PIT","102","407","358","76","14","1","14","41","44","39","118","4","2","1","",".212",".296",".370",".666",".292","82","","-1.4","3.0","","-10.9","11.5","1.7","","496.3","2900"
"Manny Piña","ATL","71","288","255","60","11","1","11","34","35","24","62","5","1","1","",".236",".312",".412",".724",".314","93","","-0.9","1.5","","-3.5","5.5","1.6","","553.2","2829"
"Austin Nola","SDP","83","326","289","76","16","1","8","37","37","28","57","5","2","1","",".264",".336",".404",".739",".322","104","","-0.2","-0.8","","1.5","1.3","1.6","","361.9","15941"
"Cal Raleigh","SEA","66","260","238","56","13","0","9","29","31","16","60","3","3","1","",".235",".288",".412",".700",".300","93","","-0.1","-0.4","","-2.2","5.1","1.5","","539.8","21534"
"Yadier Molina","STL","104","430","397","100","18","1","11","43","46","22","73","6","2","1","",".253",".299",".382",".682",".296","87","","-2.3","3.5","","-9.3","10.9","1.5","","298.7","7007"
"Austin Hedges","CLE","92","355","323","66","12","1","13","36","40","23","101","4","2","1","",".205",".263",".368",".631",".272","70","","-0.6","1.4","","-13.7","9.0","1.5","","580.3","12976"
"Christian Vázquez","BOS","87","351","321","81","16","1","8","37","38","24","66","2","5","2","",".253",".307",".387",".693",".301","85","","-1.2","1.1","","-7.7","8.4","1.4","","202.0","9774"
"Gary Sánchez","NYY","94","382","330","69","11","1","20","48","53","41","107","6","1","0","",".210",".306",".433",".739",".317","101","","-0.9","-3.0","","-0.4","3.8","1.4","","255.8","11442"
"Tucker Barnhart","DET","87","345","304","69","16","1","7","34","32","31","81","4","1","0","",".228",".306",".349",".655",".288","81","","-1.1","2.8","","-9.3","10.1","1.4","","399.6","10200"
