"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Juan Soto","WSN","150","663","517","161","29","2","36","111","109","135","96","5","11","5","",".310",".453",".586","1.040",".431","170","","-0.8","-0.7","","58.0","-8.8","7.1","","4.3","20123"
"Mike Trout","LAA","147","648","520","141","25","3","37","102","103","110","149","11","7","2","",".271",".406",".547",".953",".399","155","","0.5","0.4","","44.4","-5.0","6.1","","14.0","10155"
"Ronald Acuña Jr.","ATL","131","602","502","143","27","2","37","107","86","81","138","10","27","9","",".285",".391",".568",".959",".403","151","","2.6","-0.4","","41.4","-2.7","5.9","","11.0","18401"
"Aaron Judge","NYY","150","665","568","155","26","1","40","103","107","84","172","5","5","2","",".273",".370",".535",".905",".383","145","","-0.2","4.6","","36.9","-2.9","5.7","","36.5","15640"
"Mookie Betts","LAD","150","692","589","160","35","3","30","112","85","85","108","8","17","5","",".272",".369",".494",".863",".369","133","","2.1","7.4","","31.5","0.8","5.5","","15.2","13611"
"Luis Robert","CHW","149","636","579","165","33","2","30","90","91","41","141","8","15","6","",".285",".339",".506",".846",".358","129","","0.3","0.8","","23.0","3.3","4.8","","17.2","20043"
"Bryce Harper","PHI","150","662","537","145","32","1","36","100","103","112","150","7","12","5","",".269",".398",".532",".930",".390","143","","-1.7","-1.6","","34.6","-9.7","4.7","","9.4","11579"
"Byron Buxton","MIN","131","567","521","139","33","2","30","82","85","32","136","7","15","5","",".268",".316",".514",".830",".350","123","","1.8","4.4","","17.5","6.5","4.3","","57.2","14161"
"Kyle Tucker","HOU","147","605","539","150","32","4","31","84","93","56","104","4","14","5","",".279",".348",".524",".873",".367","137","","0.3","0.6","","27.5","-6.7","4.1","","12.5","18345"
"George Springer","TOR","150","678","587","152","28","2","36","105","92","73","142","9","8","3","",".260",".348",".498",".846",".360","126","","0.0","-4.4","","21.5","-4.5","4.0","","58.1","12856"
"Ketel Marte","ARI","149","667","595","172","40","3","23","94","83","56","98","7","5","2","",".289",".355",".480",".835",".356","120","","-0.2","-2.0","","17.1","-0.8","3.8","","80.0","13613"
"Brandon Nimmo","NYM","134","619","511","133","27","4","17","90","60","88","129","10","10","4","",".260",".377",".427",".804",".353","127","","0.0","-0.1","","21.0","-5.6","3.6","","316.8","12927"
