"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Fernando Tatis Jr.","SDP","150","677","587","165","32","2","46","115","113","75","167","7","26","10","",".281",".366",".575",".941",".392","150","","2.4","-3.5","","45.2","0.5","6.8","","1.8","19709"
"Carlos Correa","","147","621","539","150","31","1","28","84","88","70","116","6","1","0","",".278",".364",".496",".860",".367","132","","0.1","-1.5","","24.8","5.8","5.2","","101.2","14162"
"Wander Franco","TBR","149","651","589","170","33","9","19","85","84","49","79","6","10","5","",".289",".347",".473",".820",".350","128","","0.0","-1.4","","22.6","6.1","5.1","","54.3","23667"
"Trea Turner","LAD","150","681","613","178","34","3","25","103","88","53","118","6","27","7","",".290",".350",".479",".829",".354","124","","3.5","-3.8","","24.0","3.7","5.0","","1.5","16252"
"Bo Bichette","TOR","150","668","610","177","37","2","30","99","97","44","124","6","17","7","",".291",".342",".503",".845",".359","125","","0.6","-2.2","","21.0","5.3","4.9","","5.2","19612"
"Corey Seager","TEX","136","596","523","152","32","3","25","85","82","60","98","6","3","1","",".290",".367",".505",".873",".371","138","","0.0","-6.1","","27.9","-0.6","4.8","","77.8","13624"
"Marcus Semien","TEX","150","681","599","154","31","2","30","96","84","68","126","4","11","4","",".258",".336",".467",".802",".344","119","","1.2","2.8","","17.4","4.6","4.5","","37.3","12533"
"Francisco Lindor","NYM","150","667","590","148","29","3","30","89","93","64","116","7","13","5","",".252",".329",".463",".793",".337","116","","-0.2","2.0","","13.4","9.5","4.5","","50.1","12916"
"Xander Bogaerts","BOS","150","649","572","158","37","1","24","85","92","67","120","5","6","2","",".276",".354",".473",".827",".354","121","","0.4","-3.4","","17.0","3.8","4.3","","45.1","12161"
"Ketel Marte","ARI","149","667","595","172","40","3","23","94","83","56","98","7","5","2","",".289",".355",".480",".835",".356","120","","-0.2","-2.0","","17.1","-0.8","3.8","","80.0","13613"
"Trevor Story","","149","655","581","143","31","4","27","85","88","59","166","9","20","7","",".246",".322",".450",".772",".330","108","","1.6","-1.1","","7.8","6.3","3.6","","38.3","12564"
"Gleyber Torres","NYY","150","632","556","149","28","1","23","81","82","64","118","4","14","6","",".268",".346",".445",".791",".341","117","","-0.4","-2.2","","13.1","1.1","3.6","","151.0","16997"
