"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"José Ramírez","CLE","148","633","551","152","34","4","35","97","93","70","89","6","23","6","",".276",".360",".543",".903",".378","141","","6.1","","3.8","13510"
"Vladimir Guerrero Jr.","TOR","152","650","562","172","32","1","40","104","107","76","100","7","3","1","",".307",".393",".584",".977",".408","158","","5.6","","5.8","19611"
"Rafael Devers","BOS","150","647","579","163","36","3","37","97","101","59","131","5","5","2","",".281",".351",".543",".894",".374","135","","5.0","","15.6","17350"
"Manny Machado","SDP","152","649","576","160","29","1","36","91","102","63","104","3","9","4","",".277",".348",".520",".868",".364","131","","4.9","","22.3","11493"
"Alex Bregman","HOU","141","611","521","136","31","1","23","81","76","76","77","8","2","1","",".262",".361",".457",".819",".353","127","","4.5","","85.1","17678"
"Justin Turner","LAD","130","548","479","138","27","1","27","81","84","51","89","13","1","1","",".288",".368",".515",".883",".376","138","","4.2","","153.9","5235"
"Anthony Rendon","LAA","133","575","493","128","28","1","22","72","74","69","88","7","1","0","",".261",".355",".458",".813",".348","121","","3.8","","106.7","12861"
"Josh Donaldson","MIN","134","564","477","117","24","1","28","79","76","78","124","5","1","1","",".246",".357",".475",".832",".357","128","","3.5","","198.3","5038"
"Matt Chapman","OAK","146","614","532","117","24","2","30","77","78","70","181","7","3","1","",".219",".315",".443",".758",".326","110","","3.3","","188.5","16505"
"Kris Bryant","","136","587","506","132","27","2","23","80","74","63","133","14","6","2","",".261",".356",".463",".820",".353","123","","3.2","","95.2","15429"
"Nolan Arenado","STL","151","644","578","146","28","2","28","77","86","55","93","4","2","1","",".253",".319",".453",".772",".327","108","","3.1","","67.7","9777"
"Austin Riley","ATL","148","619","556","148","30","2","30","83","86","49","157","9","1","0","",".266",".332",".489",".821",".348","115","","3.0","","48.3","18360"
"Yoán Moncada","CHW","143","616","532","132","28","3","19","79","67","74","157","6","5","2","",".249",".345",".419",".764",".332","111","","2.8","","150.6","17232"
"Jeimer Candelario","DET","144","607","532","133","32","3","17","71","67","63","130","7","1","0","",".250",".335",".416",".751",".326","106","","2.7","","240.2","13621"
"Ke'Bryan Hayes","PIT","139","599","541","142","30","4","15","71","64","49","125","5","10","3","",".263",".328",".412",".740",".321","101","","2.6","","142.4","18577"
"Luis Arraez","MIN","134","551","493","145","27","4","4","65","52","49","53","3","3","1","",".295",".358",".390",".748",".327","107","","2.4","","318.2","18568"
"Eduardo Escobar","NYM","142","590","531","128","25","3","24","69","78","48","125","4","2","1","",".240",".306",".430",".736",".314","101","","2.4","","195.6","6153"
"Luis Urías","MIL","140","548","479","120","23","2","18","69","63","55","110","9","4","2","",".250",".337",".421",".758",".329","103","","2.3","","154.9","16622"
"DJ LeMahieu","NYY","145","645","577","159","25","2","10","77","59","59","92","4","3","2","",".276",".345",".381",".726",".320","103","","2.3","","111.0","9874"
"Eugenio Suárez","CIN","129","534","466","112","20","1","31","73","80","56","152","8","2","1","",".240",".329",".484",".813",".346","111","","2.2","","193.3","12552"
"Abraham Toro","SEA","121","484","429","104","21","2","14","55","53","42","87","8","6","2","",".243",".319",".402",".722",".313","102","","2.1","","261.1","19844"
"Yandy Díaz","TBR","114","472","409","108","18","1","13","56","52","56","77","3","1","1","",".264",".354",".406",".760",".332","116","","1.9","","409.7","16578"
"Evan Longoria","SFG","109","435","391","101","21","2","17","54","56","36","94","4","2","1","",".258",".323",".449",".772",".329","108","","1.9","","413.4","9368"
"Brian Anderson","MIA","118","482","425","105","20","1","16","57","54","44","116","10","4","1","",".247",".330",".412",".742",".323","105","","1.6","","433.4","18289"
"Ryan McMahon","COL","145","586","521","132","28","3","23","76","76","57","149","4","5","2","",".254",".330",".451",".780",".334","95","","1.6","","161.8","15112"
"Gio Urshela","NYY","121","481","445","113","21","1","14","53","53","29","104","4","1","0","",".253",".303",".400",".703",".303","92","","1.5","","274.3","10681"
"Aledmys Díaz","HOU","88","347","316","80","17","1","11","41","41","22","63","5","1","0","",".252",".309",".415",".724",".311","99","","1.3","","569.9","15937"
"Ha-Seong Kim","SDP","105","360","324","76","17","2","10","42","38","29","75","3","7","2","",".234",".302",".391",".693",".299","89","","1.2","","375.9","27506"
"Isiah Kiner-Falefa","TEX","107","445","411","110","19","2","5","51","38","24","62","6","10","4","",".267",".315",".360",".675",".296","87","","1.2","","357.8","16512"
"Mike Moustakas","CIN","118","456","407","99","20","1","22","57","62","40","88","5","1","0","",".243",".316",".455",".771",".328","99","","1.1","","371.8","4892"
"Hunter Dozier","KCR","123","496","444","107","24","3","18","60","62","44","133","4","5","2","",".240",".313",".431",".745",".320","100","","1.1","","385.4","15117"
"Miguel Sanó","MIN","138","561","488","108","22","0","31","75","82","65","195","5","1","1","",".220",".317",".461",".777",".331","110","","1.0","","276.1","12164"
"J.D. Davis","NYM","85","321","282","70","14","1","11","39","38","32","87","4","1","0","",".249",".333",".414",".747",".324","108","","1.0","","454.6","16219"
