"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Will Smith","LAD","127","507","436","116","24","2","28","76","80","55","107","11","2","1","",".266",".360",".518",".878",".371","135","","5.0","","61.1","19197"
"Yasmani Grandal","CHW","125","510","413","96","16","0","25","70","68","88","121","4","1","0","",".231",".368",".455",".823",".356","127","","4.8","","97.4","11368"
"J.T. Realmuto","PHI","142","587","523","140","26","3","23","80","73","49","135","10","12","3","",".269",".340",".463",".802",".343","113","","4.3","","51.4","11739"
"Max Stassi","LAA","103","385","340","76","13","1","15","44","46","35","115","7","0","0","",".223",".306",".397",".703",".307","93","","3.2","","294.6","10059"
"Mike Zunino","TBR","101","368","325","67","12","0","24","46","61","34","132","6","0","0","",".207",".293",".465",".758",".321","109","","2.9","","240.2","13265"
"Mitch Garver","MIN","106","409","357","83","18","1","19","54","54","45","118","5","1","1","",".232",".323",".449",".773",".332","111","","2.8","","183.9","15161"
"Salvador Perez","KCR","139","585","537","142","27","1","35","72","99","30","140","10","1","0","",".265",".313",".511",".825",".346","118","","2.7","","33.3","7304"
"Tyler Stephenson","CIN","130","478","425","113","23","1","12","58","53","43","100","7","0","0","",".266",".340",".411",".751",".327","98","","2.7","","136.7","17988"
"Sean Murphy","OAK","112","425","375","84","17","0","17","48","50","40","110","6","0","0","",".223",".307",".411",".717",".311","100","","2.6","","238.1","19352"
"Willson Contreras","CHC","130","523","453","114","21","1","23","69","67","54","140","13","5","2","",".251",".346",".458",".803",".346","115","","2.6","","109.0","11609"
"Omar Narváez","MIL","113","427","376","93","16","1","12","47","47","42","81","5","0","0","",".247",".329",".386",".715",".312","93","","2.6","","247.4","13338"
"Gary Sánchez","NYY","103","405","353","78","14","0","23","53","57","43","113","7","0","0","",".222",".316",".460",".776",".331","111","","2.5","","255.8","11442"
"Adley Rutschman","BAL","103","421","372","90","19","2","12","47","45","41","86","4","2","1","",".241",".321",".398",".720",".312","95","","2.3","","185.8","sa3011643"
"Daulton Varsho","ARI","112","424","380","97","21","3","16","56","55","36","89","5","8","2","",".255",".325",".458",".783",".334","106","","2.0","","95.4","19918"
"Jonah Heim","TEX","86","323","296","67","14","1","11","34","36","22","64","2","1","1","",".228",".284",".389",".672",".290","83","","2.0","","455.9","16930"
"Carson Kelly","ARI","105","398","347","84","18","1","14","46","50","42","82","5","0","0","",".243",".331",".415",".746",".323","99","","2.0","","267.0","13620"
"Danny Jansen","TOR","98","353","310","73","15","1","14","44","42","33","76","6","1","0","",".235",".319",".425",".744",".321","100","","2.0","","357.0","16535"
"Travis d'Arnaud","ATL","112","444","402","101","19","1","15","53","51","34","103","4","1","0","",".253",".314",".414",".729",".315","93","","1.9","","207.6","7739"
"Keibert Ruiz","WSN","111","431","393","105","21","1","14","49","55","29","50","5","0","0","",".268",".324",".431",".755",".324","100","","1.9","","141.5","19610"
"Kyle Higashioka","NYY","64","230","211","45","9","0","12","26","30","16","63","2","0","0","",".216",".275",".427",".702",".299","89","","1.8","","563.0","5517"
"Alejandro Kirk","TOR","89","330","292","78","15","0","13","42","43","31","48","4","0","0","",".267",".344",".454",".798",".342","114","","1.6","","234.1","22581"
"Austin Barnes","LAD","61","216","190","44","8","1","7","27","24","20","52","4","2","1","",".230",".314",".382",".695",".304","91","","1.6","","592.1","12158"
"James McCann","NYM","109","410","370","88","14","1","13","46","47","31","112","5","2","1","",".236",".302",".382",".684",".297","90","","1.6","","347.3","12859"
"Ryan Jeffers","MIN","71","259","233","52","10","0","11","31","32","22","82","4","0","0","",".222",".298",".408",".706",".306","93","","1.5","","470.2","24618"
