"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Shohei Ohtani","LAA","142","595","507","136","25","3","41","100","98","79","170","5","24","6","",".268",".371",".571",".942",".391","150","","4.6","","8.5","19755"
"Yordan Alvarez","HOU","144","614","536","148","31","1","36","90","100","68","147","6","1","1","",".277",".362",".544",".906",".379","145","","3.9","","28.6","19556"
"Giancarlo Stanton","NYY","136","579","504","127","20","0","35","82","85","66","157","6","0","0","",".252",".344",".502",".846",".358","129","","2.5","","96.6","4949"
"J.D. Martinez","BOS","144","625","556","154","33","1","31","86","92","59","143","4","0","0","",".277",".348",".505",".853",".359","125","","2.5","","89.4","6184"
"Jorge Soler","","136","568","491","121","24","1","31","78","83","64","146","8","1","0","",".246",".341",".485",".826",".353","123","","2.3","","197.4","14221"
"Franmil Reyes","CLE","144","590","524","134","24","1","35","78","93","58","168","4","2","1","",".255",".331",".502",".833",".351","123","","2.1","","126.1","14566"
"Austin Meadows","TBR","136","579","507","123","28","3","26","73","80","59","124","7","7","2","",".243",".328",".465",".793",".336","119","","2.1","","135.7","15672"
"Trey Mancini","BAL","145","621","555","149","27","2","25","77","79","54","138","8","1","0","",".268",".340",".459",".799",".342","116","","1.9","","193.0","15149"
"Michael Brantley","HOU","117","505","455","129","26","2","11","62","57","41","60","5","1","1","",".282",".346",".421",".767",".332","113","","1.8","","250.4","4106"
"Nelson Cruz","","127","540","491","126","24","1","29","69","82","36","129","9","2","1","",".256",".316",".488",".804",".339","113","","1.3","","175.3","2434"
"Jed Lowrie","","104","414","365","89","21","1","13","47","50","41","88","2","0","0","",".245",".322",".414",".736",".318","100","","1.0","","594.2","4418"
"Rowdy Tellez","MIL","116","436","390","99","20","1","21","54","63","36","90","6","1","0","",".254",".324",".472",".797",".337","109","","0.8","","316.5","15679"
"Luis Torrens","SEA","84","319","290","69","13","1","11","35","37","24","78","2","0","0","",".238",".300",".403",".703",".303","96","","0.6","","396.2","15905"
"Nick Fortes","MIA","29","101","92","22","4","0","2","10","10","7","18","1","1","0","",".237",".299",".370",".669",".291","84","","0.4","","592.5","21538"
"Gavin Sheets","CHW","110","418","375","90","17","1","16","49","50","36","96","4","1","0","",".239",".309",".416",".725",".313","99","","0.4","","487.0","19901"
"Willie Calhoun","TEX","111","432","390","95","20","1","14","49","48","34","59","4","1","1","",".245",".311",".406",".717",".310","97","","0.3","","433.6","17838"
"Yoshi Tsutsugo","PIT","118","460","398","89","21","1","16","50","55","55","118","3","1","0","",".224",".320",".401",".721",".314","96","","0.3","","367.4","27459"
"Daniel Vogelbach","","49","175","147","33","6","0","7","21","21","26","40","1","0","0","",".226",".345",".405",".751",".329","106","","0.2","","600.3","14130"
"Yermín Mercedes","CHW","16","53","48","12","2","0","2","6","7","4","10","0","0","0","",".257",".315",".430",".745",".319","102","","0.2","","585.6","17423"
"Seth Beer","ARI","85","307","272","68","16","1","10","36","38","22","69","11","1","0","",".250",".330",".421",".751",".325","100","","0.2","","551.4","20493"
"Jake Burger","CHW","24","88","80","19","4","0","3","10","10","6","23","1","0","0","",".232",".292",".395",".687",".296","87","","0.2","","590.2","22275"
"Renato Núñez","","25","98","89","21","4","0","4","12","13","7","26","2","0","0","",".235",".300",".432",".733",".314","97","","0.1","","599.6","14503"
"Taylor Jones","HOU","24","92","82","18","4","0","3","10","10","8","24","1","0","0","",".225",".301",".372",".672",".293","87","","0.0","","999.0","19533"
"Jorge Oña","SDP","5","14","12","3","1","0","0","1","1","1","4","0","0","0","",".225",".292",".361",".653",".284","80","","0.0","","999.0","20040"
"Miguel Cabrera","DET","111","462","418","104","19","0","14","48","54","37","100","3","0","0","",".249",".311",".393",".704",".305","92","","-0.1","","495.1","1744"
"Mitch Moreland","","71","267","240","54","11","0","11","30","34","24","62","2","0","0","",".226",".298",".408",".706",".304","90","","-0.2","","600.9","3086"
"Khris Davis","","58","217","193","42","8","0","9","24","27","19","61","3","0","0","",".220",".297",".401",".698",".302","89","","-0.2","","999.0","9112"
