"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Juan Soto","WSN","153","663","529","162","31","2","36","108","102","125","100","4","11","4","",".307",".440",".575","1.016",".424","165","","6.9","","4.3","20123"
"Mike Trout","LAA","134","577","465","131","25","2","37","93","94","96","135","11","7","2","",".282",".413",".582",".996",".414","166","","6.0","","14.0","10155"
"Mookie Betts","LAD","146","658","566","164","36","2","34","106","100","78","99","8","13","4","",".289",".380",".538",".918",".388","146","","5.9","","15.2","13611"
"Ronald Acuña Jr.","ATL","133","586","498","143","28","2","37","103","88","75","145","9","27","7","",".287",".387",".574",".961",".403","150","","5.8","","11.0","18401"
"Bryce Harper","PHI","150","645","527","148","30","3","38","104","102","106","146","6","12","3","",".281",".404",".566",".970",".404","152","","5.7","","9.4","11579"
"Aaron Judge","NYY","145","627","534","148","26","1","37","96","92","82","163","6","4","2","",".277",".377",".538",".915",".386","148","","4.9","","36.5","15640"
"Luis Robert","CHW","140","598","544","154","31","3","31","89","86","40","141","10","13","5","",".283",".342",".521",".863",".365","134","","4.6","","17.2","20043"
"Kyle Tucker","HOU","149","611","545","150","34","4","31","92","89","56","112","5","15","5","",".275",".345",".522",".867",".364","135","","4.4","","12.5","18345"
"Byron Buxton","MIN","122","496","453","125","29","4","30","81","74","33","123","6","16","4","",".275",".331",".553",".885",".371","137","","4.4","","57.2","14161"
"Bryan Reynolds","PIT","150","630","553","158","33","4","23","82","85","65","124","7","4","1","",".286",".365",".486",".851",".362","127","","3.9","","92.0","19326"
"George Springer","TOR","134","591","512","137","24","2","32","88","85","66","127","8","5","2","",".267",".358",".509",".867",".369","132","","3.8","","58.1","12856"
"Ketel Marte","ARI","142","610","549","159","33","3","22","82","84","52","91","5","5","2","",".289",".353",".484",".837",".357","121","","3.7","","80.0","13613"
"Joey Gallo","NYY","143","593","483","102","18","1","39","88","90","98","202","7","4","1","",".212",".351",".495",".846",".359","130","","3.4","","179.5","14128"
"Nick Castellanos","","148","637","577","165","37","3","30","88","95","48","141","7","3","1","",".286",".345",".517",".863",".364","130","","3.3","","62.0","11737"
"Starling Marte","NYM","137","603","545","150","26","3","16","86","64","41","114","13","32","8","",".275",".339",".424",".763",".330","112","","3.3","","28.7","9241"
"Jesse Winker","CIN","136","566","487","139","26","2","27","83","79","66","94","10","1","1","",".286",".380",".510",".890",".380","133","","3.3","","106.8","13590"
"Christian Yelich","MIL","139","592","501","137","26","3","22","87","72","81","133","6","15","4","",".273",".379",".471",".849",".364","127","","3.3","","101.6","11477"
"Kris Bryant","","136","587","506","132","27","2","23","80","74","63","133","14","6","2","",".261",".356",".463",".820",".353","123","","3.2","","95.2","15429"
"Enrique Hernández","BOS","139","577","509","130","30","2","24","77","75","57","110","6","2","1","",".255",".334",".465",".800",".343","113","","3.1","","220.2","10472"
