"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"José Ramírez","CLE","139","594","513","141","34","4","32","96","102","70","83","6","25","5","",".275",".365",".544",".909",".379","","2.4","3.0","","33.3","5.2","5.9","","3.8","13510"
"Vladimir Guerrero Jr.","TOR","156","667","581","176","31","2","43","117","112","79","99","5","3","1","",".303",".390",".585",".975",".408","","-0.4","-0.4","","47.3","-12.7","5.7","","5.8","19611"
"Alex Bregman","HOU","125","550","463","127","31","1","23","82","84","75","74","7","3","1","",".274",".380",".495",".875",".373","","-0.3","1.4","","27.1","3.4","4.9","","85.1","17678"
"Matt Chapman","OAK","146","612","531","122","26","4","29","83","81","69","177","7","2","2","",".230",".324",".458",".781",".335","","-0.9","10.9","","11.3","13.2","4.5","","188.5","16505"
"Rafael Devers","BOS","156","672","607","172","41","2","37","107","116","57","141","5","6","5","",".283",".348",".540",".889",".372","","-1.4","-6.6","","26.1","-4.2","4.5","","15.6","17350"
"Manny Machado","SDP","151","641","570","157","29","2","28","83","103","61","103","3","11","3","",".275",".345",".481",".825",".347","","0.4","2.1","","17.2","4.5","4.3","","22.3","11493"
"Nolan Arenado","STL","148","623","562","148","29","2","29","78","96","51","95","3","2","1","",".263",".324",".477",".801",".335","","-0.5","7.8","","9.8","10.1","4.1","","67.7","9777"
"Yoán Moncada","CHW","145","622","546","142","30","4","21","80","71","67","169","6","6","2","",".260",".346",".445",".791",".342","","-0.2","0.7","","13.4","3.0","3.8","","150.6","17232"
"DJ LeMahieu","NYY","141","636","574","162","26","2","13","88","63","54","87","3","5","2","",".282",".344",".402",".747",".326","","-0.4","5.2","","4.9","7.5","3.4","","111.0","9874"
"Austin Riley","ATL","153","632","568","154","30","2","31","82","96","51","172","8","0","1","",".271",".337",".495",".832",".352","","-0.9","-2.9","","13.3","-0.6","3.4","","48.3","18360"
"Jeimer Candelario","DET","144","604","537","136","33","4","18","72","64","60","136","6","1","1","",".253",".334",".430",".765",".331","","-0.7","3.4","","6.5","5.6","3.3","","240.2","13621"
"Josh Donaldson","MIN","124","505","427","103","23","0","22","65","67","69","113","5","1","1","",".241",".350",".450",".800",".345","","-0.7","1.2","","11.3","3.1","3.2","","198.3","5038"
"Luis Urías","MIL","149","587","508","128","25","3","20","76","75","63","126","12","6","2","",".252",".346",".431",".778",".337","","-0.2","-1.1","","6.6","5.4","3.1","","154.9","16622"
"Anthony Rendon","LAA","105","460","396","108","25","1","17","62","70","53","69","6","2","0","",".273",".363",".470",".833",".355","","0.0","-0.6","","14.6","1.1","3.1","","106.7","12861"
"Kris Bryant","","137","590","514","134","31","2","23","82","70","60","136","13","7","2","",".261",".351",".463",".814",".349","","0.1","-6.9","","16.1","-4.8","3.1","","95.2","15429"
"Eduardo Escobar","NYM","140","582","531","131","25","5","27","71","84","45","128","2","1","1","",".247",".306",".465",".771",".326","","-0.6","1.3","","6.3","3.5","2.9","","195.6","6153"
"Isiah Kiner-Falefa","TEX","156","647","605","168","23","5","9","73","46","29","88","10","20","6","",".278",".320",".377",".697",".304","","0.9","4.1","","-4.9","11.3","2.8","","357.8","16512"
"Luis Arraez","MIN","141","568","513","156","26","4","4","71","44","49","51","1","3","3","",".304",".363",".394",".756",".330","","-1.2","0.0","","5.3","2.1","2.7","","318.2","18568"
"Ke'Bryan Hayes","PIT","112","471","425","108","26","3","10","56","46","39","102","3","9","1","",".254",".319",".400",".719",".312","","1.0","9.5","","-2.0","11.3","2.5","","142.4","18577"
"Eugenio Suárez","CIN","142","578","504","119","21","1","34","72","99","61","166","8","1","1","",".236",".325",".484",".809",".343","","-0.7","-2.6","","6.2","-0.5","2.5","","193.3","12552"
"Justin Turner","LAD","131","530","466","123","19","0","19","70","73","47","87","12","3","0","",".264",".343",".427",".770",".335","","0.1","-2.8","","7.9","-0.8","2.5","","153.9","5235"
"Isaac Paredes","DET","115","471","409","105","16","3","14","61","47","50","69","4","1","1","",".257",".340",".413",".753",".327","","-0.6","2.2","","3.4","3.9","2.3","","600.9","20036"
"Gio Urshela","NYY","126","471","441","123","26","1","17","56","62","24","98","3","1","0","",".279",".318",".458",".777",".332","","-0.2","-1.5","","6.2","0.3","2.2","","274.3","10681"
"Kyle Seager","","137","571","514","117","26","1","25","63","89","48","129","5","3","1","",".228",".298",".428",".726",".310","","-0.2","0.1","","0.1","2.2","2.2","","591.9","9785"
"Ryan McMahon","COL","151","564","503","126","28","2","24","73","83","55","156","3","5","2","",".250",".326",".457",".783",".335","","-0.3","4.0","","-3.4","6.0","2.1","","161.8","15112"
"Jake Burger","CHW","116","530","473","119","17","1","20","62","56","40","99","13","2","2","",".252",".325",".419",".743",".323","","-0.9","-1.2","","2.4","0.8","2.1","","590.2","22275"
"Brian Anderson","MIA","105","427","376","95","19","1","14","46","51","39","100","10","5","1","",".253",".337",".420",".757",".329","","0.2","0.5","","5.0","2.0","2.1","","433.4","18289"
"Matt Thaiss","LAA","113","485","427","100","19","2","16","63","58","50","114","3","2","1","",".234",".317",".400",".717",".312","","-0.4","-2.6","","-2.5","6.3","2.0","","582.5","19318"
"Patrick Wisdom","CHC","116","431","387","87","15","0","29","59","72","38","157","4","6","2","",".225",".300",".488",".788",".334","","0.1","0.6","","3.8","2.2","2.0","","334.3","13602"
"Miguel Sanó","MIN","123","499","437","101","23","1","32","73","83","57","172","3","1","1","",".231",".323",".508",".831",".351","","-0.6","-1.9","","13.7","-11.0","2.0","","276.1","12164"
"Ha-Seong Kim","SDP","133","465","415","97","21","2","14","57","61","39","95","5","11","1","",".234",".305",".395",".700",".303","","1.4","2.2","","-3.6","7.4","1.9","","375.9","27506"
"Abraham Toro","SEA","128","518","461","112","22","2","14","65","56","43","92","11","6","4","",".243",".320",".390",".711",".311","","-0.9","-0.4","","-0.2","1.5","1.9","","261.1","19844"
"Joey Wendle","MIA","125","463","425","114","26","4","9","60","42","24","91","10","9","5","",".268",".320",".412",".731",".314","","-0.7","2.5","","-1.2","4.2","1.8","","364.7","13853"
"Alec Bohm","PHI","131","528","477","125","21","2","15","60","61","42","123","3","6","2","",".262",".323",".409",".731",".316","","-0.1","-0.6","","-3.3","1.4","1.6","","284.4","21618"
"Yonny Hernandez","TEX","113","459","394","95","14","2","2","51","24","53","84","9","26","12","",".241",".344",".302",".646",".296","","-0.3","4.9","","-7.4","6.6","1.5","","599.7","19432"
"Wyatt Mathisen","SFG","96","346","299","66","15","1","10","42","41","32","96","12","1","0","",".221",".319",".378",".697",".308","","-0.1","4.6","","-2.6","5.8","1.5","","999.0","14555"
"Jason Vosler","SFG","111","406","358","83","17","2","13","52","46","36","95","5","1","0","",".232",".308",".399",".707",".306","","-0.1","2.4","","-3.7","3.9","1.4","","999.0","16686"
"Romy Gonzalez","CHW","108","448","414","92","18","1","17","51","54","28","142","4","13","3","",".222",".277",".394",".671",".289","","1.0","1.9","","-8.7","6.8","1.3","","999.0","21562"
"Yandy Díaz","TBR","119","486","422","111","20","1","11","58","53","58","77","2","1","1","",".263",".352",".393",".745",".326","","-0.7","-1.2","","6.3","-10.1","1.3","","409.7","16578"
"J.D. Davis","NYM","110","371","328","86","17","1","12","41","40","35","95","6","2","0","",".262",".342",".430",".772",".335","","0.1","-8.0","","7.0","-6.6","1.3","","454.6","16219"
"Carter Kieboom","WSN","117","491","428","102","18","2","14","62","54","50","117","10","2","2","",".238",".330",".388",".718",".314","","-0.9","-0.9","","-4.7","0.9","1.2","","494.5","19958"
"Jacob Wilson","","92","377","332","72","17","2","14","47","51","34","86","4","1","0","",".217",".294",".407",".701",".302","","-0.1","0.7","","-3.4","2.0","1.2","","999.0","13254"
"Aledmys Díaz","HOU","92","338","308","77","18","0","9","35","45","20","59","7","1","1","",".250",".308",".396",".704",".303","","-0.5","1.4","","-3.2","2.6","1.1","","569.9","15937"
"Alejo Lopez","CIN","115","478","434","119","19","1","5","61","36","33","63","6","6","4","",".274",".332",".357",".689",".304","","-0.9","4.3","","-11.0","6.1","1.1","","999.0","21127"
"Kevin Padlo","SEA","110","434","385","76","16","1","15","46","45","39","142","4","6","2","",".197",".275",".361",".637",".277","","0.1","6.1","","-11.6","7.7","1.1","","600.3","16593"
"Breyvic Valera","","104","383","344","88","16","2","9","46","40","31","50","2","7","5","",".256",".318",".392",".711",".309","","-1.0","1.0","","-5.0","2.4","1.0","","999.0","12758"
"Willians Astudillo","","95","330","314","86","13","0","10","36","37","6","16","7","3","1","",".274",".300",".411",".711",".304","","-0.1","1.1","","-3.4","2.3","1.0","","600.9","15608"
"Evan Longoria","SFG","95","366","332","81","15","1","12","43","48","28","80","3","2","1","",".244",".306",".404",".710",".305","","-0.3","0.5","","-3.9","1.8","1.0","","413.4","9368"
"Ivan Castillo","KCR","115","458","428","113","21","3","5","55","38","21","81","2","9","5","",".264",".299",".362",".661",".286","","-0.7","6.0","","-13.2","7.6","1.0","","999.0","15971"
"Mike Moustakas","CIN","107","415","372","92","22","1","18","46","62","35","79","5","2","0","",".247",".318",".457",".775",".330","","0.1","-5.7","","0.4","-4.1","1.0","","371.8","4892"
"Luis Guillorme","NYM","99","277","238","61","10","0","4","28","18","33","48","1","2","2","",".256",".347",".349",".695",".310","","-0.7","0.9","","-1.2","1.9","1.0","","999.0","16451"
