"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Will Smith","LAD","127","484","410","105","21","2","27","70","87","56","108","11","3","0","",".256",".355",".515",".870",".367","","0.2","2.2","","19.9","11.1","4.7","","61.1","19197"
"Yasmani Grandal","CHW","117","467","375","88","15","1","23","61","70","82","116","4","1","1","",".235",".373",".464",".837",".363","","-0.7","3.5","","17.7","12.1","4.6","","97.4","11368"
"Adley Rutschman","BAL","126","556","485","128","23","2","21","77","69","58","99","6","2","2","",".264",".347",".449",".797",".344","","-0.9","2.5","","10.4","12.7","4.2","","185.8","sa3011643"
"J.T. Realmuto","PHI","133","542","486","128","26","3","20","73","79","43","126","9","10","2","",".263",".332",".453",".785",".335","","0.7","3.2","","6.0","13.2","3.7","","51.4","11739"
"Salvador Perez","KCR","139","574","538","140","24","0","34","67","94","21","142","11","1","0","",".260",".300",".494",".794",".334","","-0.2","0.3","","6.6","10.8","3.7","","33.3","7304"
"Sean Murphy","OAK","110","386","338","77","19","1","15","47","51","35","103","9","1","0","",".228",".314",".423",".737",".319","","-0.1","5.4","","2.6","12.4","2.8","","238.1","19352"
"Willson Contreras","CHC","120","460","396","95","18","1","20","58","62","47","123","14","4","3","",".240",".339",".442",".781",".338","","-0.9","-0.5","","4.8","8.0","2.8","","109.0","11609"
"MJ Melendez","KCR","123","517","460","112","24","2","21","61","64","44","126","3","2","4","",".243",".311",".441",".752",".322","","-1.7","0.8","","-0.5","10.3","2.7","","392.5","sa3004139"
"Jacob Stallings","MIA","103","376","336","83","16","1","7","34","40","34","81","3","0","0","",".247",".320",".363",".683",".300","","-0.3","11.5","","-4.9","18.4","2.6","","379.2","13723"
"Keibert Ruiz","WSN","105","430","394","106","20","1","17","48","59","30","54","4","0","0","",".269",".326",".454",".781",".335","","-0.3","-1.0","","3.4","6.9","2.5","","141.5","19610"
"Buster Posey","","104","419","374","101","20","0","11","49","42","41","78","2","0","0","",".270",".344",".412",".755",".327","","-0.4","-0.4","","3.3","7.3","2.5","","594.3","9166"
"Tyler Stephenson","CIN","131","421","368","98","20","0","10","55","45","42","85","6","0","0","",".266",".347",".402",".749",".327","","-0.4","3.4","","-1.1","11.2","2.4","","136.7","17988"
"Mike Zunino","TBR","103","352","318","63","13","1","22","47","54","27","126","6","0","0","",".198",".273",".453",".726",".309","","-0.2","4.2","","-0.2","10.7","2.2","","240.2","13265"
"Christian Vázquez","BOS","133","486","448","116","22","1","11","52","50","31","87","2","6","4","",".259",".308",".386",".694",".301","","-0.9","4.9","","-9.8","13.9","2.1","","202.0","9774"
"Carson Kelly","ARI","107","379","329","79","15","1","14","42","49","42","80","4","0","0","",".240",".331",".419",".750",".323","","-0.3","1.0","","-0.7","8.0","2.0","","267.0","13620"
"Mitch Garver","MIN","84","303","264","64","13","1","16","42","44","33","85","4","1","1","",".242",".333",".481",".814",".348","","-0.5","-3.6","","7.4","2.0","2.0","","183.9","15161"
"Shea Langeliers","ATL","96","386","356","83","15","1","17","37","46","25","105","3","1","0","",".233",".288",".424",".712",".304","","-0.1","6.4","","-6.9","13.5","1.9","","999.0","sa3010329"
"Francisco Mejía","TBR","97","334","304","76","17","3","9","36","38","19","65","7","0","0","",".250",".306",".414",".721",".309","","-0.2","1.1","","0.0","7.3","1.9","","414.0","16403"
"Austin Allen","OAK","90","350","325","81","19","1","13","39","45","19","80","3","0","0","",".249",".295",".434",".729",".311","","-0.2","0.5","","-0.3","6.9","1.9","","599.9","18083"
"Danny Jansen","TOR","92","316","276","63","15","1","14","42","43","30","65","6","0","0","",".228",".315",".442",".757",".326","","-0.2","1.0","","0.9","6.8","1.8","","357.0","16535"
"Luis Torrens","SEA","121","460","420","99","20","2","15","47","56","34","115","2","0","1","",".236",".293",".400",".693",".298","","-0.8","-0.6","","-5.1","7.9","1.8","","396.2","15905"
"Omar Narváez","MIL","124","438","387","98","16","0","13","48","48","42","86","5","0","0","",".253",".331",".395",".726",".316","","-0.4","-1.3","","-3.0","6.8","1.8","","247.4","13338"
"Max Stassi","LAA","87","293","260","58","10","1","11","35","32","25","91","6","0","0","",".223",".304",".396",".700",".305","","-0.2","5.8","","-3.2","11.1","1.8","","294.6","10059"
"Daulton Varsho","ARI","112","424","383","96","19","3","15","55","48","35","93","4","10","2","",".251",".319",".433",".753",".323","","0.8","-4.5","","0.3","3.3","1.8","","95.4","19918"
"Jonah Heim","TEX","89","339","311","75","15","0","7","33","33","22","58","2","1","1","",".241",".293",".357",".650",".284","","-0.5","7.8","","-9.2","14.0","1.6","","455.9","16930"
