"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yordan Alvarez","HOU","145","614","544","158","36","1","39","97","124","61","149","6","2","1","",".290",".366",".575",".942",".394","","-0.5","-0.9","","40.5","-7.6","5.4","","28.6","19556"
"Shohei Ohtani","LAA","151","586","501","131","25","6","38","90","101","79","171","3","21","8","",".261",".363",".563",".926",".383","","0.4","0.0","","32.5","-15.1","3.7","","8.5","19755"
"Austin Meadows","TBR","144","591","526","136","31","4","29","80","102","54","128","6","8","4","",".259",".332",".498",".830",".350","","-0.5","1.5","","19.8","-5.0","3.5","","135.7","15672"
"Giancarlo Stanton","NYY","126","530","466","119","20","0","30","62","91","56","151","4","1","0","",".255",".338",".491",".829",".352","","-0.2","-1.0","","15.9","-6.8","2.7","","96.6","4949"
"Franmil Reyes","CLE","136","524","470","122","20","1","34","66","94","47","164","2","3","1","",".260",".326",".523",".850",".356","","-0.2","-3.8","","17.1","-9.6","2.5","","126.1","14566"
"Michael Brantley","HOU","123","527","483","144","30","2","11","66","56","36","60","4","3","1","",".298",".350",".437",".787",".340","","-0.3","1.0","","11.4","-4.8","2.5","","250.4","4106"
"J.D. Martinez","BOS","136","591","527","143","32","2","25","78","86","55","136","4","1","0","",".271",".342",".482",".824",".348","","-0.3","-2.2","","11.7","-8.7","2.3","","89.4","6184"
"Jake Burger","CHW","116","530","473","119","17","1","20","62","56","40","99","13","2","2","",".252",".325",".419",".743",".323","","-0.9","-1.2","","2.4","0.8","2.1","","590.2","22275"
"Trey Mancini","BAL","148","626","566","154","33","2","27","82","85","49","136","8","0","0","",".272",".337",".481",".818",".348","","-0.5","-4.5","","14.5","-16.0","2.0","","193.0","15149"
"Nelson Cruz","","124","513","456","117","16","1","27","66","79","44","125","7","2","0","",".257",".327",".474",".801",".335","","0.0","-0.9","","11.4","-10.3","1.9","","175.3","2434"
"Jorge Soler","","142","577","499","117","27","0","34","74","94","67","158","7","1","0","",".234",".331",".493",".824",".350","","-0.2","-6.0","","11.8","-12.3","1.9","","197.4","14221"
"Luis Torrens","SEA","121","460","420","99","20","2","15","47","56","34","115","2","0","1","",".236",".293",".400",".693",".298","","-0.8","-0.6","","-5.1","7.9","1.8","","396.2","15905"
"Yohel Pozo","TEX","108","432","411","106","20","1","12","47","49","15","60","2","1","1","",".258",".285",".399",".684",".293","","-0.5","3.1","","-8.2","11.0","1.7","","600.7","18848"
