"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Fernando Tatis Jr.","SDP","130","553","482","143","28","2","44","106","111","63","137","4","31","5","",".297",".380",".637","1.017",".419","","3.7","-0.9","","51.0","5.2","7.5","","1.8","19709"
"Trea Turner","LAD","143","639","588","177","32","4","28","101","84","43","113","5","32","6","",".301",".352",".512",".864",".367","","3.3","-1.2","","29.4","5.8","5.6","","1.5","16252"
"Marcus Semien","TEX","153","685","613","165","34","3","32","103","84","67","128","2","13","4","",".269",".342",".491",".833",".355","","0.4","5.9","","22.9","8.4","5.5","","37.3","12533"
"Carlos Correa","","140","593","520","143","30","1","25","87","94","63","117","4","1","0","",".275",".354",".481",".835",".356","","-0.3","5.3","","20.7","11.8","5.3","","101.2","14162"
"Corey Seager","TEX","137","584","522","152","34","2","26","92","92","53","97","4","5","0","",".291",".358",".513",".871",".369","","0.5","-0.7","","26.7","5.7","5.2","","77.8","13624"
"Bo Bichette","TOR","156","668","616","179","34","3","29","110","101","44","126","5","25","4","",".291",".341",".497",".838",".357","","2.8","-0.3","","22.2","7.0","5.2","","5.2","19612"
"Francisco Lindor","NYM","132","586","518","136","27","2","25","87","74","55","102","5","16","6","",".263",".337",".467",".804",".341","","0.2","6.8","","14.3","13.2","4.7","","50.1","12916"
"Xander Bogaerts","BOS","145","622","550","158","38","1","26","88","89","62","113","4","7","1","",".287",".360",".502",".862",".366","","0.4","-5.7","","22.7","1.2","4.5","","45.1","12161"
"Wander Franco","TBR","121","536","487","138","27","8","16","85","71","41","73","3","8","6","",".283",".340",".470",".810",".346","","-1.4","4.1","","15.3","10.0","4.4","","54.3","23667"
"Trevor Story","","142","612","548","148","34","5","28","91","79","52","146","8","24","7","",".270",".340",".504",".844",".357","","1.4","3.9","","9.2","10.7","4.0","","38.3","12564"
"Jorge Polanco","MIN","152","660","601","168","35","4","28","96","93","48","115","4","11","6","",".280",".334",".491",".825",".350","","-0.8","-3.2","","17.6","-0.8","3.9","","78.6","13152"
"Bobby Witt Jr.","KCR","125","569","515","138","27","3","21","67","64","38","125","6","23","7","",".268",".323",".454",".777",".332","","1.2","4.0","","7.1","10.3","3.7","","94.6","sa3011225"
"Ketel Marte","ARI","130","537","489","142","32","6","17","68","61","41","83","4","5","1","",".290",".348",".485",".833",".354","","0.1","0.8","","13.4","2.8","3.4","","80.0","13613"
"Javier Báez","DET","144","573","536","140","27","3","26","79","80","26","165","8","17","6","",".261",".304",".468",".772",".326","","0.5","2.3","","5.0","8.6","3.3","","62.1","12979"
"Tim Anderson","CHW","135","581","554","164","29","2","20","91","61","22","121","3","19","7","",".296",".325",".464",".789",".337","","0.4","-4.1","","10.7","2.3","3.3","","33.5","15172"
"Luis Urías","MIL","149","587","508","128","25","3","20","76","75","63","126","12","6","2","",".252",".346",".431",".778",".337","","-0.2","-1.1","","6.6","5.4","3.1","","154.9","16622"
"Willy Adames","MIL","149","584","524","134","27","2","24","76","69","56","168","1","6","4","",".256",".328",".452",".780",".335","","-0.9","-0.1","","4.5","6.3","3.0","","130.1","15986"
